tau_q,rho
100,0.04188542
133,0.03663958
178,0.03323437
237,0.02912257
316,0.02556389
422,0.01645799
562,0.01275417
750,0.00892639
1000,0.00351806
1334,0.00079583
1778,0.00001250
2371,0.00001042
3162,0.00115139
4217,0.00112951
5623,0.00057396
7499,0.00058542
10000,0.00056597
13335,0.00001250
17783,0.00001354
23714,0.00001042
31623,0.00001563
42170,0.00000938
56234,0.00001563
74989,0.00001667
100000,0.00001042
