T,E,M,M2,M4,Cv,chi
5.0000,-5.774785,0.980810,0.962040,0.925718,0.233870,0.008879
5.2250,-5.725502,0.976479,0.953579,0.909571,0.275612,0.011213
5.4500,-5.665537,0.971216,0.943344,0.890207,0.304373,0.013077
5.6750,-5.583808,0.963902,0.929218,0.863857,0.364875,0.016951
5.9000,-5.508979,0.957166,0.916296,0.840074,0.385567,0.019076
6.1250,-5.417711,0.948797,0.900387,0.811310,0.455708,0.024096
6.3500,-5.300111,0.937844,0.879759,0.774704,0.495373,0.028286
6.5750,-5.196625,0.928090,0.861616,0.743288,0.567530,0.034737
6.8000,-5.064641,0.915311,0.838108,0.703468,0.599785,0.039791
7.0250,-4.915539,0.900468,0.811246,0.659419,0.686683,0.049742
7.2500,-4.780896,0.886630,0.786588,0.620201,0.711752,0.056667
7.4750,-4.596109,0.867076,0.752430,0.567960,0.776968,0.070363
7.7000,-4.435551,0.849708,0.722742,0.524469,0.850904,0.082836
7.9250,-4.235567,0.827105,0.685007,0.471659,0.878700,0.098501
8.1500,-4.018032,0.801148,0.643026,0.416484,0.991821,0.125864
8.3750,-3.802035,0.774119,0.600953,0.365078,1.179035,0.174590
8.6000,-3.540106,0.739709,0.549130,0.305706,1.116506,0.196916
8.8250,-3.234192,0.694825,0.485792,0.241528,1.306187,0.294689
9.0500,-2.933264,0.644988,0.421330,0.185514,1.653145,0.507871
9.2750,-2.638174,0.593569,0.358275,0.136126,1.468798,0.554325
9.5000,-2.119993,0.458513,0.231098,0.067004,1.948701,1.897511
9.7250,-1.778150,0.364550,0.156161,0.034322,1.409342,2.066873
9.9500,-1.432340,0.227102,0.071804,0.011142,0.931355,1.756532
10.1750,-1.288655,0.175749,0.047279,0.005655,0.601641,1.391874
10.4000,-1.154676,0.135584,0.027625,0.001910,0.335978,0.767825
10.6250,-1.116581,0.128802,0.026192,0.001931,0.326188,0.780779
10.8500,-1.057662,0.119450,0.021964,0.001346,0.278156,0.612804
11.0750,-1.007197,0.104872,0.016994,0.000829,0.209261,0.467738
11.3000,-0.939484,0.092733,0.013572,0.000551,0.182055,0.380240
11.5250,-0.916919,0.088292,0.012011,0.000417,0.168730,0.316001
11.7500,-0.868044,0.083264,0.010602,0.000312,0.142394,0.269822
11.9750,-0.829806,0.076885,0.009199,0.000240,0.130653,0.237199
12.2000,-0.820810,0.076054,0.008909,0.000229,0.133263,0.221263
12.4250,-0.780169,0.070873,0.007742,0.000171,0.123014,0.189059
12.6500,-0.758150,0.070725,0.007745,0.000169,0.109522,0.187362
12.8750,-0.743447,0.067340,0.007278,0.000171,0.104583,0.184083
13.1000,-0.714852,0.065130,0.006676,0.000139,0.094652,0.160558
13.3250,-0.693910,0.060301,0.005670,0.000089,0.084823,0.131873
13.5500,-0.678850,0.058472,0.005450,0.000093,0.084852,0.129485
13.7750,-0.658912,0.058972,0.005464,0.000089,0.078862,0.124568
14.0000,-0.637764,0.058828,0.005268,0.000077,0.078045,0.111529
