T,E,M,M2,M4,Cv,chi
3.5000,-3.805407,0.974674,0.950135,0.903306,0.282466,0.018022
3.6375,-3.769815,0.969882,0.940847,0.885850,0.310052,0.020916
3.7750,-3.718171,0.962917,0.927434,0.860967,0.362747,0.025862
3.9125,-3.659718,0.954780,0.911914,0.832701,0.440935,0.034118
4.0500,-3.606949,0.947368,0.897834,0.807273,0.423146,0.034960
4.1875,-3.547620,0.938824,0.881815,0.779077,0.494555,0.043770
4.3250,-3.459713,0.925898,0.857854,0.737833,0.583526,0.056590
4.4625,-3.400245,0.917039,0.841614,0.710480,0.609541,0.063241
4.6000,-3.306884,0.902926,0.816036,0.668368,0.634602,0.071475
4.7375,-3.211833,0.888035,0.789595,0.626515,0.720443,0.090213
4.8750,-3.120801,0.872898,0.763126,0.585896,0.771114,0.104066
5.0125,-3.012361,0.855373,0.732962,0.540956,0.764147,0.112013
5.1500,-2.860616,0.828586,0.688434,0.478990,0.925387,0.157679
5.2875,-2.765648,0.811192,0.660191,0.441353,0.919453,0.176339
5.4250,-2.588204,0.776815,0.606710,0.375618,1.139742,0.260308
5.5625,-2.433556,0.744424,0.558961,0.322340,1.355423,0.372352
5.7000,-2.279495,0.711928,0.512210,0.272541,1.268898,0.406838
5.8375,-2.018227,0.639144,0.423292,0.197160,1.775614,1.094364
5.9750,-1.879171,0.606931,0.380133,0.159674,1.510277,0.850839
6.1125,-1.629583,0.520965,0.292300,0.103557,1.583115,1.476768
6.2500,-1.482440,0.476178,0.247140,0.077006,1.418715,1.409651
6.3875,-1.256019,0.375678,0.168177,0.041818,1.148995,1.828983
6.5250,-1.080639,0.286866,0.109739,0.022384,0.859780,1.817161
6.6625,-0.997037,0.248259,0.085665,0.015302,0.681657,1.558271
6.8000,-0.888597,0.188340,0.051805,0.006378,0.388752,1.037606
6.9375,-0.859468,0.181940,0.049591,0.006160,0.394658,1.026789
7.0750,-0.809847,0.163861,0.038990,0.003759,0.271077,0.741223
7.2125,-0.779241,0.149938,0.034104,0.002984,0.252379,0.696144
7.3500,-0.737231,0.131898,0.027204,0.002109,0.225707,0.576405
7.4875,-0.706713,0.122708,0.023182,0.001445,0.180659,0.468737
7.6250,-0.675972,0.110431,0.018413,0.000943,0.163417,0.352268
7.7625,-0.661306,0.109819,0.018692,0.001014,0.152901,0.369066
7.9000,-0.645861,0.103595,0.017049,0.000922,0.147728,0.345452
8.0375,-0.620968,0.098213,0.015110,0.000697,0.120928,0.293701
8.1750,-0.608157,0.096236,0.014281,0.000563,0.113711,0.265278
8.3125,-0.594560,0.089051,0.012425,0.000451,0.113007,0.233610
8.4500,-0.580458,0.089780,0.012515,0.000441,0.105021,0.227727
8.5875,-0.567907,0.091030,0.012919,0.000495,0.098685,0.233053
8.7250,-0.552269,0.084280,0.010927,0.000332,0.089474,0.189354
8.8625,-0.534778,0.084005,0.010959,0.000345,0.085459,0.190189
9.0000,-0.529736,0.078880,0.009848,0.000293,0.085188,0.174027
