T,E,M,M2,M4,Cv,chi
3.5000,-3.798578,0.973727,0.948650,0.901813,0.288806,0.018536
3.6375,-3.769297,0.969742,0.940996,0.887664,0.309209,0.020966
3.7750,-3.715172,0.962531,0.927218,0.862451,0.358295,0.025469
3.9125,-3.672109,0.956531,0.915870,0.842086,0.389715,0.030044
4.0500,-3.595063,0.945484,0.895140,0.805443,0.450749,0.037916
4.1875,-3.548531,0.938813,0.882915,0.784776,0.525075,0.047268
4.3250,-3.472203,0.928000,0.862897,0.750287,0.526007,0.050696
4.4625,-3.394141,0.916656,0.842340,0.716226,0.582045,0.059688
4.6000,-3.311922,0.903992,0.819543,0.679016,0.584978,0.065154
4.7375,-3.207281,0.887203,0.790367,0.634341,0.704057,0.087480
4.8750,-3.106859,0.870727,0.762437,0.593427,0.815440,0.112178
5.0125,-2.989672,0.850383,0.728556,0.544981,0.866071,0.138032
5.1500,-2.860484,0.829164,0.694026,0.497748,0.920750,0.161882
5.2875,-2.708328,0.800687,0.648856,0.439288,0.964451,0.187751
5.4250,-2.617234,0.780789,0.621925,0.410956,1.158775,0.290067
5.5625,-2.403656,0.736164,0.558311,0.339817,1.259369,0.376772
5.7000,-2.173172,0.676234,0.489595,0.279371,1.604272,0.725390
5.8375,-2.162031,0.679000,0.486801,0.273070,1.430193,0.564840
5.9750,-1.917531,0.614805,0.410263,0.204981,1.294122,0.691484
6.1125,-1.683109,0.544312,0.338440,0.155354,1.400984,0.882945
6.2500,-1.503828,0.481672,0.283278,0.120447,1.333858,1.050015
6.3875,-1.449844,0.472516,0.271720,0.111055,1.201202,0.970870
6.5250,-1.201875,0.385898,0.193001,0.065897,0.873826,0.864780
6.6625,-1.063219,0.341625,0.154629,0.044545,0.647928,0.728548
6.8000,-0.986766,0.307703,0.130829,0.034750,0.533248,0.680435
6.9375,-0.941203,0.287969,0.116882,0.029221,0.480786,0.626500
7.0750,-0.865062,0.259023,0.095973,0.020584,0.350268,0.522487
7.2125,-0.831844,0.253016,0.092308,0.019291,0.339181,0.502083
7.3500,-0.805375,0.243273,0.086529,0.017703,0.313786,0.476246
7.4875,-0.785953,0.245461,0.086655,0.016824,0.278719,0.451382
7.6250,-0.719187,0.205453,0.063774,0.010246,0.208473,0.361979
7.7625,-0.717031,0.208648,0.065301,0.010503,0.198917,0.358923
7.9000,-0.657422,0.185727,0.053054,0.007576,0.172893,0.300707
8.0375,-0.642578,0.181000,0.050093,0.006630,0.149316,0.276011
8.1750,-0.640250,0.186867,0.052529,0.007109,0.148738,0.275722
8.3125,-0.617609,0.179852,0.049418,0.006637,0.142837,0.262868
8.4500,-0.601172,0.175273,0.046300,0.005523,0.125131,0.235999
8.5875,-0.572109,0.162531,0.040384,0.004229,0.106024,0.208186
8.7250,-0.561250,0.163789,0.040307,0.004165,0.100762,0.197757
8.8625,-0.543719,0.154336,0.036870,0.003738,0.097280,0.188489
9.0000,-0.530797,0.150125,0.034134,0.003022,0.081479,0.164932
