T,E,M,M2,M4,Cv,chi
5.0000,-5.780097,0.981269,0.962896,0.927194,0.237235,0.008989
5.2250,-5.722560,0.976241,0.953056,0.908347,0.274350,0.011076
5.4500,-5.661080,0.970828,0.942517,0.888374,0.288047,0.012449
5.6750,-5.587697,0.964302,0.929892,0.864749,0.361820,0.016564
5.9000,-5.504500,0.956792,0.915466,0.838138,0.386109,0.018949
6.1250,-5.411614,0.948260,0.899218,0.808670,0.454573,0.023880
6.3500,-5.310918,0.938897,0.881551,0.777216,0.457095,0.025932
6.5750,-5.192312,0.927640,0.860549,0.740655,0.555187,0.033932
6.8000,-5.071174,0.915927,0.838958,0.703972,0.551090,0.036754
7.0250,-4.927490,0.901615,0.812955,0.661046,0.623641,0.045519
7.2500,-4.777720,0.886375,0.785715,0.617521,0.653754,0.052449
7.4750,-4.608061,0.868504,0.754369,0.569282,0.728835,0.064089
7.7000,-4.426118,0.848692,0.720367,0.519185,0.827271,0.079959
7.9250,-4.229307,0.826375,0.683014,0.466830,0.926880,0.102823
8.1500,-4.019316,0.801349,0.642316,0.412967,1.030388,0.131750
8.3750,-3.780096,0.771133,0.594847,0.354318,1.116368,0.165756
8.6000,-3.536746,0.738851,0.546150,0.298824,1.117561,0.200376
8.8250,-3.238068,0.695153,0.483637,0.234667,1.427091,0.312333
9.0500,-2.942770,0.647602,0.419941,0.177272,1.394570,0.421875
9.2750,-2.586796,0.581503,0.338997,0.116051,1.538717,0.634136
9.5000,-2.234992,0.502440,0.254238,0.066370,1.820479,1.303953
9.7250,-1.716209,0.324676,0.111639,0.014952,1.876651,4.423917
9.9500,-1.421474,0.167891,0.039640,0.003181,1.323098,7.955833
10.1750,-1.253221,0.081107,0.009709,0.000239,0.413019,2.126763
10.4000,-1.159200,0.055512,0.005043,0.000095,0.333224,1.303309
10.6250,-1.097013,0.050140,0.003908,0.000041,0.269056,0.906896
10.8500,-1.038602,0.039495,0.002481,0.000018,0.223846,0.587074
11.0750,-0.990502,0.036638,0.002113,0.000013,0.212372,0.481115
11.3000,-0.945678,0.033878,0.001802,0.000010,0.183497,0.399908
11.5250,-0.911579,0.034816,0.001867,0.000010,0.158881,0.392520
11.7500,-0.871730,0.027291,0.001154,0.000004,0.165973,0.240521
11.9750,-0.841512,0.029579,0.001425,0.000007,0.136970,0.317782
12.2000,-0.815214,0.025842,0.001066,0.000004,0.120094,0.225735
12.4250,-0.788683,0.025218,0.001027,0.000003,0.118306,0.217376
12.6500,-0.758696,0.024553,0.000939,0.000003,0.114044,0.183504
12.8750,-0.733596,0.022432,0.000808,0.000002,0.101429,0.163472
13.1000,-0.716878,0.021635,0.000751,0.000002,0.094465,0.149196
13.3250,-0.694959,0.021077,0.000688,0.000001,0.082699,0.126313
13.5500,-0.676291,0.021305,0.000710,0.000001,0.081626,0.130409
13.7750,-0.656743,0.020541,0.000658,0.000001,0.072364,0.118395
14.0000,-0.637421,0.019393,0.000597,0.000001,0.074072,0.109191
