T,E,M,M2,M4,Cv,chi
5.0000,-5.784781,0.981660,0.963817,0.929552,0.215905,0.008187
5.2250,-5.737180,0.977520,0.955747,0.914218,0.245542,0.009930
5.4500,-5.657711,0.970520,0.942191,0.888777,0.308553,0.013286
5.6750,-5.586930,0.964262,0.930149,0.866453,0.340536,0.015703
5.9000,-5.497813,0.956113,0.914622,0.838219,0.402773,0.020382
6.1250,-5.416461,0.948613,0.900439,0.812822,0.452236,0.023921
6.3500,-5.314438,0.939309,0.882943,0.781823,0.458633,0.025881
6.5750,-5.185594,0.927188,0.860493,0.743213,0.526798,0.031798
6.8000,-5.049406,0.913645,0.835854,0.702260,0.610388,0.041697
7.0250,-4.942648,0.903277,0.817056,0.671248,0.589182,0.041770
7.2500,-4.782383,0.886711,0.787892,0.625786,0.719464,0.057744
7.4750,-4.606102,0.868539,0.756288,0.577653,0.767335,0.066022
7.7000,-4.425156,0.848539,0.722577,0.529229,0.874683,0.085076
7.9250,-4.243344,0.828477,0.689234,0.482601,0.860919,0.092390
8.1500,-4.000188,0.798891,0.642344,0.422585,1.016381,0.129351
8.3750,-3.732000,0.764410,0.590521,0.362031,1.215223,0.189467
8.6000,-3.496367,0.732215,0.543671,0.310227,1.219034,0.224212
8.8250,-3.245391,0.695562,0.494270,0.260608,1.222075,0.303504
9.0500,-2.988062,0.654934,0.443053,0.215229,1.321203,0.399284
9.2750,-2.605828,0.582855,0.361895,0.153871,1.446085,0.612043
9.5000,-2.226703,0.505563,0.282233,0.101840,1.330487,0.717867
9.7250,-2.002367,0.451898,0.237304,0.079318,1.310091,0.871098
9.9500,-1.615625,0.338613,0.150203,0.040268,0.952611,0.914512
10.1750,-1.384008,0.276965,0.105241,0.022097,0.626332,0.717834
10.4000,-1.289914,0.255848,0.091462,0.017607,0.537596,0.640088
10.6250,-1.186648,0.225375,0.074948,0.012965,0.468097,0.581984
10.8500,-1.140922,0.219840,0.069096,0.010655,0.363360,0.489976
11.0750,-1.043859,0.192410,0.054408,0.007002,0.279746,0.401890
11.3000,-0.970758,0.167070,0.042571,0.004850,0.249570,0.332090
11.5250,-0.944141,0.162926,0.040062,0.004225,0.199660,0.300250
11.7500,-0.883547,0.144504,0.032257,0.002885,0.170278,0.247847
11.9750,-0.844422,0.141023,0.029864,0.002369,0.137664,0.213273
12.2000,-0.820937,0.135785,0.028193,0.002168,0.145809,0.204694
12.4250,-0.796555,0.129949,0.026122,0.001924,0.125917,0.190288
12.6500,-0.781500,0.127270,0.024866,0.001745,0.120536,0.175431
12.8750,-0.732992,0.118203,0.021675,0.001358,0.104131,0.153164
13.1000,-0.717844,0.112437,0.020136,0.001262,0.097434,0.146442
13.3250,-0.704055,0.117090,0.020883,0.001188,0.091606,0.137811
13.5500,-0.691961,0.115281,0.020727,0.001249,0.089983,0.140508
13.7750,-0.656680,0.106008,0.017507,0.000917,0.077685,0.116505
14.0000,-0.636148,0.105289,0.016813,0.000773,0.070708,0.104719
