T,E,M,M2,M4,Cv,chi
3.5000,-3.806471,0.974864,0.950378,0.903286,0.278925,0.017747
3.6375,-3.765814,0.969368,0.939698,0.883118,0.324363,0.021995
3.7750,-3.716429,0.962635,0.926695,0.858872,0.369947,0.026832
3.9125,-3.667510,0.955828,0.913645,0.834883,0.425843,0.032852
4.0500,-3.609280,0.947663,0.898110,0.806757,0.442647,0.037101
4.1875,-3.542038,0.938033,0.879961,0.774525,0.513592,0.045628
4.3250,-3.471553,0.927737,0.860765,0.741156,0.574125,0.055651
4.4625,-3.390407,0.915641,0.838477,0.703303,0.583010,0.059993
4.6000,-3.303122,0.902227,0.814111,0.663093,0.648114,0.073222
4.7375,-3.212534,0.888091,0.788824,0.622618,0.708065,0.086770
4.8750,-3.108228,0.871209,0.759149,0.576746,0.752724,0.102438
5.0125,-3.002851,0.853609,0.728831,0.531728,0.843608,0.126474
5.1500,-2.874258,0.830856,0.690556,0.477512,0.912887,0.156818
5.2875,-2.747114,0.807899,0.653008,0.427216,1.020800,0.200199
5.4250,-2.597044,0.778939,0.607136,0.369559,1.099499,0.248484
5.5625,-2.453481,0.749731,0.562604,0.317658,1.172753,0.315932
5.7000,-2.270817,0.709849,0.504553,0.255908,1.270567,0.404412
5.8375,-2.091826,0.664333,0.442396,0.197561,1.472244,0.626051
5.9750,-1.885274,0.609855,0.373412,0.141600,1.517961,0.860787
6.1125,-1.676819,0.545221,0.299318,0.091979,1.501813,1.160119
6.2500,-1.361119,0.399465,0.168880,0.033748,2.235331,5.147072
6.3875,-1.110358,0.227164,0.063840,0.006627,1.212812,6.620698
6.5250,-0.995047,0.151896,0.031385,0.001950,0.647612,4.402624
6.6625,-0.911696,0.090784,0.012369,0.000395,0.397179,2.140743
6.8000,-0.858756,0.066143,0.007056,0.000162,0.329195,1.362625
6.9375,-0.819438,0.064719,0.006270,0.000097,0.241087,1.037040
7.0750,-0.787192,0.058452,0.005376,0.000083,0.236738,0.957136
7.2125,-0.759976,0.052672,0.004296,0.000054,0.224823,0.729174
7.3500,-0.728823,0.048495,0.003743,0.000043,0.178890,0.654374
7.4875,-0.707308,0.043844,0.002967,0.000024,0.175637,0.482385
7.6250,-0.684132,0.039960,0.002563,0.000020,0.150861,0.437913
7.7625,-0.663670,0.043399,0.002846,0.000022,0.146853,0.428488
7.9000,-0.646041,0.035925,0.002119,0.000015,0.132663,0.362332
8.0375,-0.623801,0.038331,0.002236,0.000013,0.120507,0.329676
8.1750,-0.607741,0.033428,0.001754,0.000009,0.119482,0.269019
8.3125,-0.591457,0.033025,0.001724,0.000009,0.108074,0.263468
8.4500,-0.579321,0.032574,0.001659,0.000008,0.103799,0.244506
8.5875,-0.564082,0.031806,0.001574,0.000007,0.092981,0.226365
8.7250,-0.551974,0.029848,0.001444,0.000007,0.095300,0.219248
8.8625,-0.538635,0.031114,0.001488,0.000006,0.087558,0.202699
9.0000,-0.527438,0.028855,0.001290,0.000005,0.083341,0.175518
