T,E,M,M2,M4,Cv,chi
3.5000,-3.805204,0.974690,0.950052,0.902719,0.285640,0.018001
3.6375,-3.765374,0.969328,0.939635,0.883061,0.320048,0.021568
3.7750,-3.719976,0.963167,0.927740,0.860883,0.361494,0.026068
3.9125,-3.669543,0.956155,0.914295,0.836162,0.413556,0.031814
4.0500,-3.610242,0.947836,0.898466,0.807497,0.428790,0.035375
4.1875,-3.540377,0.937813,0.879592,0.774030,0.530994,0.047362
4.3250,-3.466899,0.927156,0.859729,0.739513,0.536056,0.051128
4.4625,-3.389914,0.915568,0.838401,0.703368,0.589786,0.060559
4.6000,-3.303766,0.902391,0.814481,0.663935,0.655669,0.074378
4.7375,-3.217224,0.888827,0.790218,0.625089,0.703796,0.086485
4.8750,-3.109686,0.871429,0.759646,0.577842,0.765046,0.105844
5.0125,-3.004198,0.853708,0.729124,0.532512,0.812438,0.122359
5.1500,-2.883421,0.833071,0.694401,0.483284,0.927470,0.153088
5.2875,-2.746044,0.807467,0.652557,0.427257,1.062472,0.209118
5.4250,-2.609511,0.781203,0.610989,0.375022,1.157968,0.262203
5.5625,-2.449233,0.749072,0.561873,0.317399,1.048107,0.274850
5.7000,-2.278653,0.710519,0.506025,0.258426,1.289239,0.416351
5.8375,-2.084377,0.663131,0.441568,0.198038,1.388100,0.625601
5.9750,-1.902342,0.615400,0.380958,0.148433,1.465011,0.750217
6.1125,-1.623775,0.521798,0.277944,0.082750,1.822799,1.855458
6.2500,-1.363858,0.401937,0.174434,0.037470,1.949245,4.122021
6.3875,-1.090199,0.216276,0.063756,0.008048,1.157797,5.316861
6.5250,-0.993353,0.156351,0.036633,0.003304,0.796930,3.735667
6.6625,-0.906575,0.110196,0.018036,0.000862,0.397613,1.768934
6.8000,-0.866734,0.102456,0.015954,0.000689,0.331810,1.604794
6.9375,-0.822427,0.081724,0.010570,0.000332,0.292927,1.121946
7.0750,-0.794769,0.084131,0.010540,0.000292,0.253285,0.978634
7.2125,-0.760589,0.073053,0.008245,0.000198,0.213037,0.806351
7.3500,-0.735163,0.064228,0.006535,0.000125,0.198666,0.655589
7.4875,-0.704767,0.062118,0.006132,0.000117,0.170102,0.607290
7.6250,-0.685153,0.055108,0.005030,0.000086,0.165709,0.522742
7.7625,-0.663679,0.052755,0.004362,0.000057,0.147956,0.406771
7.9000,-0.642326,0.050766,0.003862,0.000040,0.134091,0.325170
8.0375,-0.628891,0.047690,0.003646,0.000041,0.131674,0.341293
8.1750,-0.609001,0.045316,0.003108,0.000027,0.112971,0.257922
8.3125,-0.592341,0.043785,0.002960,0.000024,0.108606,0.250931
8.4500,-0.578563,0.041839,0.002688,0.000021,0.109435,0.222013
8.5875,-0.566092,0.042352,0.002813,0.000023,0.098539,0.237365
8.7250,-0.550509,0.038433,0.002343,0.000017,0.099457,0.198465
8.8625,-0.539370,0.037562,0.002200,0.000014,0.091295,0.178116
9.0000,-0.529625,0.038757,0.002371,0.000017,0.081429,0.193148
