n,p_removed,tc_mean,tc_err,chi_peak_mean,chi_peak_err,mean_degree,mean_degree_err,n_realizations,tc_over_tc0,tc_over_tc0_err
24,0.0,4.529200214821225,0.0281776722396286,120.39705122067244,37.267269731515064,6.0,0.0,4,1.0,0.0
24,0.1,4.04563330791638,0.0048080894515185,103.49289714664822,11.04206501376601,5.400028935185186,2.677958695487379e-16,12,0.8932334884816011,0.0056575929089829
24,0.2,3.5541275523005313,0.0063948156675846,132.86007850956716,18.941732601359117,4.80005787037037,2.677958695487379e-16,12,0.7847141622642572,0.0050820383631737
24,0.3,3.0801712087160733,0.0059286046506384,115.11274228001032,14.8636226799287,4.200086805555555,2.677958695487379e-16,12,0.6800695625326099,0.004428800198924
24,0.4,2.519803845706299,0.0632159190104834,156.24203505582287,41.48498618704542,3.600115740740741,0.0,12,0.5563463141815999,0.0143801740674589
24,0.5,1.9994192760838143,0.0498056992383134,202.49642048851092,40.059505934905125,3.0,0.0,12,0.4414508481080108,0.0113343502355478
28,0.0,4.5277120007186085,0.0049504623499919,104.3206627468462,6.763426191888228,6.0,0.0,4,1.0,0.0
28,0.1,4.0470722421533685,0.0059864031605734,136.4241347334755,18.713658091605872,5.400054664723032,0.0,12,0.8938448915282253,0.0016441572777031
28,0.2,3.529513572134781,0.0366861254791051,145.6245694129102,44.49703231120729,4.800018221574344,2.677958695487379e-16,12,0.7795357945855654,0.0081472799196653
28,0.3,3.079212424308506,0.0055805272674465,103.42995829825423,12.105968313195543,4.200072886297376,0.0,12,0.6800813355221785,0.0014394562600679
28,0.4,2.4793945102852164,0.0726077649923809,196.28331676667827,58.35854979995713,3.600036443148688,0.0,12,0.5476042888531124,0.0160474770782926
28,0.5,1.821797690778041,0.0945582531293004,259.03432056859066,52.40606940152843,3.0,0.0,12,0.4023660715365503,0.0208889679277306
32,0.0,4.500112848074816,0.0043345370764471,419.0959931667894,34.40133798452031,6.0,0.0,8,1.0,0.0
32,0.1,3.9695777361629663,0.0538212503891427,243.92582608817293,69.91206735387563,5.4000244140625,0.0,12,0.8821062649264859,0.0119901200152617
32,0.2,3.537937161128831,0.0308181330807708,205.91211478967065,35.01181109894901,4.800048828125,0.0,12,0.7861885425034149,0.0068900427795757
32,0.3,3.033665208055629,0.0503391668774382,170.91683853503005,61.97514050805762,4.20001220703125,0.0,12,0.6741309185953981,0.0112050309568132
32,0.4,2.486771395955193,0.0685600796332172,145.80423770245156,33.69283060824871,3.60003662109375,0.0,12,0.5526020079738786,0.0152444862747478
32,0.5,1.649777483987247,0.0796275325085443,460.84869717691754,65.52342428016192,3.0,0.0,12,0.3666080251060892,0.017698086628002
