t,rho
3660,0.01908800
3670,0.02060800
3680,0.01932800
3690,0.01880533
3700,0.01850133
3710,0.01931200
3720,0.01963733
3730,0.02033067
3740,0.01972800
3750,0.01856533
3760,0.01915733
3770,0.01954667
3780,0.01982933
3790,0.01967467
3800,0.01926933
3810,0.01938667
3820,0.02037867
3830,0.01963200
3840,0.01986133
3850,0.01933867
3860,0.02003200
3870,0.01953067
3880,0.01923733
3890,0.02075733
3900,0.02042133
3910,0.01882133
3920,0.01874133
3930,0.01963733
3940,0.01970667
3950,0.02034133
3960,0.01931733
3970,0.02025600
3980,0.02032000
3990,0.02029867
4000,0.01968533
4010,0.01944533
4020,0.01920533
4030,0.01864000
4040,0.01989333
4050,0.01986667
4060,0.01936000
4070,0.01946133
4080,0.02024000
4090,0.01984533
4100,0.01947733
4110,0.01964267
4120,0.01921600
4130,0.01898667
4140,0.01977600
4150,0.01985600
4160,0.01946133
4170,0.01973333
4180,0.01998400
4190,0.01933867
4200,0.01987733
4210,0.02061333
4220,0.01904000
4230,0.01962667
4240,0.01928533
4250,0.01972800
4260,0.01889600
4270,0.02009067
4280,0.01885333
4290,0.01843200
4300,0.02046933
4310,0.01933867
4320,0.01989867
4330,0.02013333
4340,0.01974400
4350,0.01897600
4360,0.02018133
4370,0.01970667
4380,0.01978133
4390,0.02043200
4400,0.01968000
4410,0.01888533
4420,0.01924800
4430,0.01931200
4440,0.01909867
4450,0.01820267
4460,0.01888000
4470,0.01980800
4480,0.02124800
4490,0.02006933
4500,0.01904000
4510,0.01940800
4520,0.01978133
4530,0.01905600
4540,0.02096533
4550,0.01977067
4560,0.01931200
4570,0.01971733
4580,0.01947733
4590,0.01953067
4600,0.01956800
4610,0.02077333
4620,0.01978667
4630,0.01896533
4640,0.02048000
4650,0.01917333
4660,0.01899200
4670,0.01993067
4680,0.01839467
4690,0.01900800
4700,0.01917333
4710,0.01824533
4720,0.01993600
4730,0.01890133
4740,0.02005867
4750,0.01937067
4760,0.01933867
4770,0.02014400
4780,0.01938667
4790,0.02064000
4800,0.02040000
4810,0.01985067
4820,0.01972267
4830,0.01931733
4840,0.02011200
4850,0.02010667
4860,0.02021333
