t,rho
0,0.34639583
10,0.15971875
20,0.12421875
30,0.10384375
40,0.09318750
50,0.08551042
60,0.07503125
70,0.06628125
80,0.05972917
90,0.05010417
100,0.04723958
110,0.04555208
120,0.04156250
130,0.04135417
140,0.03948958
150,0.03727083
160,0.03563542
170,0.03602083
180,0.03193750
190,0.03026042
200,0.02929167
210,0.02893750
220,0.02720833
230,0.02478125
240,0.02454167
250,0.02312500
260,0.02137500
270,0.01968750
280,0.02001042
290,0.01919792
300,0.01998958
310,0.01908333
320,0.01969792
330,0.02011458
340,0.01853125
350,0.01833333
360,0.02015625
370,0.01935417
380,0.01876042
390,0.01931250
400,0.01884375
410,0.02079167
420,0.01780208
430,0.01846875
440,0.01926042
450,0.01890625
460,0.02027083
470,0.02162500
480,0.01800000
490,0.01943750
500,0.01956250
510,0.01877083
520,0.02046875
530,0.01941667
540,0.01997917
550,0.01937500
560,0.02023958
570,0.02019792
580,0.02025000
590,0.02107292
600,0.02030208
610,0.02034375
620,0.01898958
630,0.02000000
640,0.02009375
650,0.01859375
660,0.02159375
670,0.01958333
680,0.01965625
690,0.02020833
700,0.02009375
710,0.02077083
720,0.01985417
730,0.01982292
740,0.01912500
750,0.01925000
760,0.01930208
770,0.01968750
780,0.01970833
790,0.01835417
800,0.02054167
810,0.01976042
820,0.01863542
830,0.02125000
840,0.02017708
850,0.01840625
860,0.01798958
870,0.01977083
880,0.01838542
890,0.01883333
900,0.01894792
910,0.01893750
920,0.01995833
930,0.02062500
940,0.01833333
950,0.01826042
960,0.02039583
970,0.01775000
980,0.01970833
990,0.01965625
1000,0.02009375
1010,0.01881250
1020,0.01934375
1030,0.02098958
1040,0.02083333
1050,0.02129167
1060,0.01853125
1070,0.01837500
1080,0.01850000
1090,0.01892708
1100,0.01939583
1110,0.02091667
1120,0.01962500
1130,0.01911458
1140,0.01802083
1150,0.02044792
1160,0.01971875
1170,0.01951042
1180,0.02006250
1190,0.01922917
1200,0.01995833
1210,0.01893750
1220,0.01901042
1230,0.02028125
1240,0.01977083
1250,0.01828125
1260,0.01922917
1270,0.01968750
1280,0.02001042
1290,0.01696875
1300,0.01891667
1310,0.02015625
1320,0.02125000
1330,0.01934375
1340,0.01955208
1350,0.01813542
1360,0.01989583
1370,0.02067708
1380,0.02009375
1390,0.01931250
1400,0.02156250
1410,0.01992708
1420,0.01893750
1430,0.01979167
1440,0.01981250
1450,0.02018750
1460,0.01918750
1470,0.01975000
1480,0.01955208
1490,0.01718750
1500,0.01973958
1510,0.01859375
1520,0.01850000
1530,0.02004167
1540,0.02022917
1550,0.01936458
1560,0.02006250
1570,0.01969792
1580,0.02023958
1590,0.02005208
1600,0.01935417
1610,0.01869792
1620,0.01978125
1630,0.01950000
1640,0.01931250
1650,0.01933333
1660,0.01917708
1670,0.01842708
1680,0.02009375
1690,0.01860417
1700,0.01994792
1710,0.01827083
1720,0.02030208
1730,0.02004167
1740,0.02046875
1750,0.01977083
1760,0.01866667
1770,0.02012500
1780,0.02035417
1790,0.01941667
1800,0.01972917
1810,0.01937500
1820,0.01902083
1830,0.01935417
1840,0.01883333
