n,p_removed,realization,seed,tmin,tmax,steps,warmup,samples,mean_degree,n_edges,graph_file,sweep_file,completed_at
24,0.0,0,1000042,3.8,5.2,51,4000,3000,6.0,41472,/Volumes/Untitled/publishing_data/dilution_publish_v1/size_N24/raw/dilution/graphs/N24/p000/diluted_N24_p000_r000.json,/Volumes/Untitled/publishing_data/dilution_publish_v1/size_N24/raw/dilution/sweeps/N24/p000/diluted_N24_p000_r000_sweep.csv,2026-03-08T20:46:46.271128+00:00
24,0.0,2,1002060,3.8,5.2,51,4000,3000,6.0,41472,/Volumes/Untitled/publishing_data/dilution_publish_v1/size_N24/raw/dilution/graphs/N24/p000/diluted_N24_p000_r002.json,/Volumes/Untitled/publishing_data/dilution_publish_v1/size_N24/raw/dilution/sweeps/N24/p000/diluted_N24_p000_r002_sweep.csv,2026-03-08T20:46:46.661626+00:00
24,0.0,3,1003069,3.8,5.2,51,4000,3000,6.0,41472,/Volumes/Untitled/publishing_data/dilution_publish_v1/size_N24/raw/dilution/graphs/N24/p000/diluted_N24_p000_r003.json,/Volumes/Untitled/publishing_data/dilution_publish_v1/size_N24/raw/dilution/sweeps/N24/p000/diluted_N24_p000_r003_sweep.csv,2026-03-08T20:46:46.681589+00:00
24,0.0,1,1001051,3.8,5.2,51,4000,3000,6.0,41472,/Volumes/Untitled/publishing_data/dilution_publish_v1/size_N24/raw/dilution/graphs/N24/p000/diluted_N24_p000_r001.json,/Volumes/Untitled/publishing_data/dilution_publish_v1/size_N24/raw/dilution/sweeps/N24/p000/diluted_N24_p000_r001_sweep.csv,2026-03-08T20:46:47.082976+00:00
24,0.1,1,1002051,3.5,4.8,51,4000,3000,5.400028935185185,37325,/Volumes/Untitled/publishing_data/dilution_publish_v1/size_N24/raw/dilution/graphs/N24/p100/diluted_N24_p100_r001.json,/Volumes/Untitled/publishing_data/dilution_publish_v1/size_N24/raw/dilution/sweeps/N24/p100/diluted_N24_p100_r001_sweep.csv,2026-03-08T20:49:03.186046+00:00
24,0.1,0,1001042,3.5,4.8,51,4000,3000,5.400028935185185,37325,/Volumes/Untitled/publishing_data/dilution_publish_v1/size_N24/raw/dilution/graphs/N24/p100/diluted_N24_p100_r000.json,/Volumes/Untitled/publishing_data/dilution_publish_v1/size_N24/raw/dilution/sweeps/N24/p100/diluted_N24_p100_r000_sweep.csv,2026-03-08T20:49:03.741904+00:00
24,0.1,2,1003060,3.5,4.8,51,4000,3000,5.400028935185185,37325,/Volumes/Untitled/publishing_data/dilution_publish_v1/size_N24/raw/dilution/graphs/N24/p100/diluted_N24_p100_r002.json,/Volumes/Untitled/publishing_data/dilution_publish_v1/size_N24/raw/dilution/sweeps/N24/p100/diluted_N24_p100_r002_sweep.csv,2026-03-08T20:49:04.246057+00:00
24,0.1,3,1004069,3.5,4.8,51,4000,3000,5.400028935185185,37325,/Volumes/Untitled/publishing_data/dilution_publish_v1/size_N24/raw/dilution/graphs/N24/p100/diluted_N24_p100_r003.json,/Volumes/Untitled/publishing_data/dilution_publish_v1/size_N24/raw/dilution/sweeps/N24/p100/diluted_N24_p100_r003_sweep.csv,2026-03-08T20:49:04.381457+00:00
24,0.1,5,1006087,3.5,4.8,51,4000,3000,5.400028935185185,37325,/Volumes/Untitled/publishing_data/dilution_publish_v1/size_N24/raw/dilution/graphs/N24/p100/diluted_N24_p100_r005.json,/Volumes/Untitled/publishing_data/dilution_publish_v1/size_N24/raw/dilution/sweeps/N24/p100/diluted_N24_p100_r005_sweep.csv,2026-03-08T20:51:23.533515+00:00
24,0.1,4,1005078,3.5,4.8,51,4000,3000,5.400028935185185,37325,/Volumes/Untitled/publishing_data/dilution_publish_v1/size_N24/raw/dilution/graphs/N24/p100/diluted_N24_p100_r004.json,/Volumes/Untitled/publishing_data/dilution_publish_v1/size_N24/raw/dilution/sweeps/N24/p100/diluted_N24_p100_r004_sweep.csv,2026-03-08T20:51:23.792982+00:00
