p_removed,n,realization,graph_file,sweep_file,mean_degree,n_edges,seed,tmin,tmax,steps,warmup,samples
0.2,24,2,/Volumes/Untitled/publishing_data/dilution_publish_v1/size_N24/raw/dilution/graphs/N24/p200/diluted_N24_p200_r002.json,/Volumes/Untitled/publishing_data/dilution_publish_v1/size_N24/raw/dilution/sweeps/N24/p200/diluted_N24_p200_r002_sweep.csv,4.80005787037037,33178,1004060,3.0,4.3,51,4000,3000
0.2,24,3,/Volumes/Untitled/publishing_data/dilution_publish_v1/size_N24/raw/dilution/graphs/N24/p200/diluted_N24_p200_r003.json,/Volumes/Untitled/publishing_data/dilution_publish_v1/size_N24/raw/dilution/sweeps/N24/p200/diluted_N24_p200_r003_sweep.csv,4.80005787037037,33178,1005069,3.0,4.3,51,4000,3000
0.2,24,4,/Volumes/Untitled/publishing_data/dilution_publish_v1/size_N24/raw/dilution/graphs/N24/p200/diluted_N24_p200_r004.json,/Volumes/Untitled/publishing_data/dilution_publish_v1/size_N24/raw/dilution/sweeps/N24/p200/diluted_N24_p200_r004_sweep.csv,4.80005787037037,33178,1006078,3.0,4.3,51,4000,3000
0.2,24,5,/Volumes/Untitled/publishing_data/dilution_publish_v1/size_N24/raw/dilution/graphs/N24/p200/diluted_N24_p200_r005.json,/Volumes/Untitled/publishing_data/dilution_publish_v1/size_N24/raw/dilution/sweeps/N24/p200/diluted_N24_p200_r005_sweep.csv,4.80005787037037,33178,1007087,3.0,4.3,51,4000,3000
0.2,24,6,/Volumes/Untitled/publishing_data/dilution_publish_v1/size_N24/raw/dilution/graphs/N24/p200/diluted_N24_p200_r006.json,/Volumes/Untitled/publishing_data/dilution_publish_v1/size_N24/raw/dilution/sweeps/N24/p200/diluted_N24_p200_r006_sweep.csv,4.80005787037037,33178,1008096,3.0,4.3,51,4000,3000
0.2,24,7,/Volumes/Untitled/publishing_data/dilution_publish_v1/size_N24/raw/dilution/graphs/N24/p200/diluted_N24_p200_r007.json,/Volumes/Untitled/publishing_data/dilution_publish_v1/size_N24/raw/dilution/sweeps/N24/p200/diluted_N24_p200_r007_sweep.csv,4.80005787037037,33178,1009105,3.0,4.3,51,4000,3000
0.2,24,8,/Volumes/Untitled/publishing_data/dilution_publish_v1/size_N24/raw/dilution/graphs/N24/p200/diluted_N24_p200_r008.json,/Volumes/Untitled/publishing_data/dilution_publish_v1/size_N24/raw/dilution/sweeps/N24/p200/diluted_N24_p200_r008_sweep.csv,4.80005787037037,33178,1010114,3.0,4.3,51,4000,3000
0.2,24,9,/Volumes/Untitled/publishing_data/dilution_publish_v1/size_N24/raw/dilution/graphs/N24/p200/diluted_N24_p200_r009.json,/Volumes/Untitled/publishing_data/dilution_publish_v1/size_N24/raw/dilution/sweeps/N24/p200/diluted_N24_p200_r009_sweep.csv,4.80005787037037,33178,1011123,3.0,4.3,51,4000,3000
0.2,24,10,/Volumes/Untitled/publishing_data/dilution_publish_v1/size_N24/raw/dilution/graphs/N24/p200/diluted_N24_p200_r010.json,/Volumes/Untitled/publishing_data/dilution_publish_v1/size_N24/raw/dilution/sweeps/N24/p200/diluted_N24_p200_r010_sweep.csv,4.80005787037037,33178,1012132,3.0,4.3,51,4000,3000
0.2,24,11,/Volumes/Untitled/publishing_data/dilution_publish_v1/size_N24/raw/dilution/graphs/N24/p200/diluted_N24_p200_r011.json,/Volumes/Untitled/publishing_data/dilution_publish_v1/size_N24/raw/dilution/sweeps/N24/p200/diluted_N24_p200_r011_sweep.csv,4.80005787037037,33178,1013141,3.0,4.3,51,4000,3000
