n,p_removed,realization,tc_chi_peak,chi_peak,peak_method,mean_degree,n_edges,graph_file,sweep_file
24,0.0,0,4.603298334482879,42.11543104518205,quadratic,6.0,41472,/Volumes/Untitled/publishing_data/dilution_publish_v1/size_N24/raw/dilution/graphs/N24/p000/diluted_N24_p000_r000.json,/Volumes/Untitled/publishing_data/dilution_publish_v1/size_N24/raw/dilution/sweeps/N24/p000/diluted_N24_p000_r000_sweep.csv
24,0.0,2,4.473403188487805,207.52267247997224,quadratic,6.0,41472,/Volumes/Untitled/publishing_data/dilution_publish_v1/size_N24/raw/dilution/graphs/N24/p000/diluted_N24_p000_r002.json,/Volumes/Untitled/publishing_data/dilution_publish_v1/size_N24/raw/dilution/sweeps/N24/p000/diluted_N24_p000_r002_sweep.csv
24,0.0,3,4.5394979336398915,77.84239666548092,quadratic,6.0,41472,/Volumes/Untitled/publishing_data/dilution_publish_v1/size_N24/raw/dilution/graphs/N24/p000/diluted_N24_p000_r003.json,/Volumes/Untitled/publishing_data/dilution_publish_v1/size_N24/raw/dilution/sweeps/N24/p000/diluted_N24_p000_r003_sweep.csv
24,0.0,1,4.500601402674324,154.10770469205454,quadratic,6.0,41472,/Volumes/Untitled/publishing_data/dilution_publish_v1/size_N24/raw/dilution/graphs/N24/p000/diluted_N24_p000_r001.json,/Volumes/Untitled/publishing_data/dilution_publish_v1/size_N24/raw/dilution/sweeps/N24/p000/diluted_N24_p000_r001_sweep.csv
24,0.1,1,4.068976923205429,99.31649550655857,quadratic,5.400028935185185,37325,/Volumes/Untitled/publishing_data/dilution_publish_v1/size_N24/raw/dilution/graphs/N24/p100/diluted_N24_p100_r001.json,/Volumes/Untitled/publishing_data/dilution_publish_v1/size_N24/raw/dilution/sweeps/N24/p100/diluted_N24_p100_r001_sweep.csv
24,0.1,0,4.076722693601757,41.348480008833576,quadratic,5.400028935185185,37325,/Volumes/Untitled/publishing_data/dilution_publish_v1/size_N24/raw/dilution/graphs/N24/p100/diluted_N24_p100_r000.json,/Volumes/Untitled/publishing_data/dilution_publish_v1/size_N24/raw/dilution/sweeps/N24/p100/diluted_N24_p100_r000_sweep.csv
24,0.1,2,4.051238407548615,83.67742070893291,quadratic,5.400028935185185,37325,/Volumes/Untitled/publishing_data/dilution_publish_v1/size_N24/raw/dilution/graphs/N24/p100/diluted_N24_p100_r002.json,/Volumes/Untitled/publishing_data/dilution_publish_v1/size_N24/raw/dilution/sweeps/N24/p100/diluted_N24_p100_r002_sweep.csv
24,0.1,3,4.048712824993467,50.139670517179184,quadratic,5.400028935185185,37325,/Volumes/Untitled/publishing_data/dilution_publish_v1/size_N24/raw/dilution/graphs/N24/p100/diluted_N24_p100_r003.json,/Volumes/Untitled/publishing_data/dilution_publish_v1/size_N24/raw/dilution/sweeps/N24/p100/diluted_N24_p100_r003_sweep.csv
24,0.1,5,4.025113053316424,135.14925136091188,quadratic,5.400028935185185,37325,/Volumes/Untitled/publishing_data/dilution_publish_v1/size_N24/raw/dilution/graphs/N24/p100/diluted_N24_p100_r005.json,/Volumes/Untitled/publishing_data/dilution_publish_v1/size_N24/raw/dilution/sweeps/N24/p100/diluted_N24_p100_r005_sweep.csv
24,0.1,4,4.023643474466144,131.55787265207618,quadratic,5.400028935185185,37325,/Volumes/Untitled/publishing_data/dilution_publish_v1/size_N24/raw/dilution/graphs/N24/p100/diluted_N24_p100_r004.json,/Volumes/Untitled/publishing_data/dilution_publish_v1/size_N24/raw/dilution/sweeps/N24/p100/diluted_N24_p100_r004_sweep.csv
24,0.1,7,4.0487270297490365,79.15572512813378,quadratic,5.400028935185185,37325,/Volumes/Untitled/publishing_data/dilution_publish_v1/size_N24/raw/dilution/graphs/N24/p100/diluted_N24_p100_r007.json,/Volumes/Untitled/publishing_data/dilution_publish_v1/size_N24/raw/dilution/sweeps/N24/p100/diluted_N24_p100_r007_sweep.csv
24,0.1,6,4.035567460827495,98.2241018358618,quadratic,5.400028935185185,37325,/Volumes/Untitled/publishing_data/dilution_publish_v1/size_N24/raw/dilution/graphs/N24/p100/diluted_N24_p100_r006.json,/Volumes/Untitled/publishing_data/dilution_publish_v1/size_N24/raw/dilution/sweeps/N24/p100/diluted_N24_p100_r006_sweep.csv
24,0.1,9,4.045398554440405,117.41708161914721,quadratic,5.400028935185185,37325,/Volumes/Untitled/publishing_data/dilution_publish_v1/size_N24/raw/dilution/graphs/N24/p100/diluted_N24_p100_r009.json,/Volumes/Untitled/publishing_data/dilution_publish_v1/size_N24/raw/dilution/sweeps/N24/p100/diluted_N24_p100_r009_sweep.csv
24,0.1,8,4.024475299831719,181.11790872458369,quadratic,5.400028935185185,37325,/Volumes/Untitled/publishing_data/dilution_publish_v1/size_N24/raw/dilution/graphs/N24/p100/diluted_N24_p100_r008.json,/Volumes/Untitled/publishing_data/dilution_publish_v1/size_N24/raw/dilution/sweeps/N24/p100/diluted_N24_p100_r008_sweep.csv
24,0.1,11,4.0478040609214085,102.72075688675977,quadratic,5.400028935185185,37325,/Volumes/Untitled/publishing_data/dilution_publish_v1/size_N24/raw/dilution/graphs/N24/p100/diluted_N24_p100_r011.json,/Volumes/Untitled/publishing_data/dilution_publish_v1/size_N24/raw/dilution/sweeps/N24/p100/diluted_N24_p100_r011_sweep.csv
24,0.1,10,4.051219912094665,122.09000081080012,quadratic,5.400028935185185,37325,/Volumes/Untitled/publishing_data/dilution_publish_v1/size_N24/raw/dilution/graphs/N24/p100/diluted_N24_p100_r010.json,/Volumes/Untitled/publishing_data/dilution_publish_v1/size_N24/raw/dilution/sweeps/N24/p100/diluted_N24_p100_r010_sweep.csv
24,0.2,3,3.5350788994292643,80.74095255543943,quadratic,4.80005787037037,33178,/Volumes/Untitled/publishing_data/dilution_publish_v1/size_N24/raw/dilution/graphs/N24/p200/diluted_N24_p200_r003.json,/Volumes/Untitled/publishing_data/dilution_publish_v1/size_N24/raw/dilution/sweeps/N24/p200/diluted_N24_p200_r003_sweep.csv
24,0.2,2,3.5448480421990087,99.40189226693474,quadratic,4.80005787037037,33178,/Volumes/Untitled/publishing_data/dilution_publish_v1/size_N24/raw/dilution/graphs/N24/p200/diluted_N24_p200_r002.json,/Volumes/Untitled/publishing_data/dilution_publish_v1/size_N24/raw/dilution/sweeps/N24/p200/diluted_N24_p200_r002_sweep.csv
24,0.2,0,3.52410872651911,304.22950102435425,quadratic,4.80005787037037,33178,/Volumes/Untitled/publishing_data/dilution_publish_v1/size_N24/raw/dilution/graphs/N24/p200/diluted_N24_p200_r000.json,/Volumes/Untitled/publishing_data/dilution_publish_v1/size_N24/raw/dilution/sweeps/N24/p200/diluted_N24_p200_r000_sweep.csv
24,0.2,1,3.5714855963723413,100.97994395531714,quadratic,4.80005787037037,33178,/Volumes/Untitled/publishing_data/dilution_publish_v1/size_N24/raw/dilution/graphs/N24/p200/diluted_N24_p200_r001.json,/Volumes/Untitled/publishing_data/dilution_publish_v1/size_N24/raw/dilution/sweeps/N24/p200/diluted_N24_p200_r001_sweep.csv
24,0.2,4,3.5201105967332067,150.65807467047125,quadratic,4.80005787037037,33178,/Volumes/Untitled/publishing_data/dilution_publish_v1/size_N24/raw/dilution/graphs/N24/p200/diluted_N24_p200_r004.json,/Volumes/Untitled/publishing_data/dilution_publish_v1/size_N24/raw/dilution/sweeps/N24/p200/diluted_N24_p200_r004_sweep.csv
24,0.2,5,3.547994999249113,113.91238424670883,quadratic,4.80005787037037,33178,/Volumes/Untitled/publishing_data/dilution_publish_v1/size_N24/raw/dilution/graphs/N24/p200/diluted_N24_p200_r005.json,/Volumes/Untitled/publishing_data/dilution_publish_v1/size_N24/raw/dilution/sweeps/N24/p200/diluted_N24_p200_r005_sweep.csv
24,0.2,6,3.5960379257786013,65.055185318226,quadratic,4.80005787037037,33178,/Volumes/Untitled/publishing_data/dilution_publish_v1/size_N24/raw/dilution/graphs/N24/p200/diluted_N24_p200_r006.json,/Volumes/Untitled/publishing_data/dilution_publish_v1/size_N24/raw/dilution/sweeps/N24/p200/diluted_N24_p200_r006_sweep.csv
24,0.2,7,3.5521470340021724,138.52749604196288,quadratic,4.80005787037037,33178,/Volumes/Untitled/publishing_data/dilution_publish_v1/size_N24/raw/dilution/graphs/N24/p200/diluted_N24_p200_r007.json,/Volumes/Untitled/publishing_data/dilution_publish_v1/size_N24/raw/dilution/sweeps/N24/p200/diluted_N24_p200_r007_sweep.csv
24,0.2,8,3.5679432742464265,112.87484083336312,quadratic,4.80005787037037,33178,/Volumes/Untitled/publishing_data/dilution_publish_v1/size_N24/raw/dilution/graphs/N24/p200/diluted_N24_p200_r008.json,/Volumes/Untitled/publishing_data/dilution_publish_v1/size_N24/raw/dilution/sweeps/N24/p200/diluted_N24_p200_r008_sweep.csv
24,0.2,9,3.5700728140181837,96.49303238955326,quadratic,4.80005787037037,33178,/Volumes/Untitled/publishing_data/dilution_publish_v1/size_N24/raw/dilution/graphs/N24/p200/diluted_N24_p200_r009.json,/Volumes/Untitled/publishing_data/dilution_publish_v1/size_N24/raw/dilution/sweeps/N24/p200/diluted_N24_p200_r009_sweep.csv
24,0.2,10,3.548003169642232,210.18207940272987,quadratic,4.80005787037037,33178,/Volumes/Untitled/publishing_data/dilution_publish_v1/size_N24/raw/dilution/graphs/N24/p200/diluted_N24_p200_r010.json,/Volumes/Untitled/publishing_data/dilution_publish_v1/size_N24/raw/dilution/sweeps/N24/p200/diluted_N24_p200_r010_sweep.csv
24,0.2,11,3.5716995494167145,121.26555940974504,quadratic,4.80005787037037,33178,/Volumes/Untitled/publishing_data/dilution_publish_v1/size_N24/raw/dilution/graphs/N24/p200/diluted_N24_p200_r011.json,/Volumes/Untitled/publishing_data/dilution_publish_v1/size_N24/raw/dilution/sweeps/N24/p200/diluted_N24_p200_r011_sweep.csv
24,0.3,0,3.0700991791207737,132.42515928228386,quadratic,4.200086805555555,29031,/Volumes/Untitled/publishing_data/dilution_publish_v1/size_N24/raw/dilution/graphs/N24/p300/diluted_N24_p300_r000.json,/Volumes/Untitled/publishing_data/dilution_publish_v1/size_N24/raw/dilution/sweeps/N24/p300/diluted_N24_p300_r000_sweep.csv
24,0.3,2,3.1025838330496978,95.90128775383346,quadratic,4.200086805555555,29031,/Volumes/Untitled/publishing_data/dilution_publish_v1/size_N24/raw/dilution/graphs/N24/p300/diluted_N24_p300_r002.json,/Volumes/Untitled/publishing_data/dilution_publish_v1/size_N24/raw/dilution/sweeps/N24/p300/diluted_N24_p300_r002_sweep.csv
24,0.3,1,3.1020699215310517,79.87019742024131,quadratic,4.200086805555555,29031,/Volumes/Untitled/publishing_data/dilution_publish_v1/size_N24/raw/dilution/graphs/N24/p300/diluted_N24_p300_r001.json,/Volumes/Untitled/publishing_data/dilution_publish_v1/size_N24/raw/dilution/sweeps/N24/p300/diluted_N24_p300_r001_sweep.csv
24,0.3,3,3.077789654815227,126.11972058878746,quadratic,4.200086805555555,29031,/Volumes/Untitled/publishing_data/dilution_publish_v1/size_N24/raw/dilution/graphs/N24/p300/diluted_N24_p300_r003.json,/Volumes/Untitled/publishing_data/dilution_publish_v1/size_N24/raw/dilution/sweeps/N24/p300/diluted_N24_p300_r003_sweep.csv
24,0.3,4,3.0810862894005786,80.84204601618694,quadratic,4.200086805555555,29031,/Volumes/Untitled/publishing_data/dilution_publish_v1/size_N24/raw/dilution/graphs/N24/p300/diluted_N24_p300_r004.json,/Volumes/Untitled/publishing_data/dilution_publish_v1/size_N24/raw/dilution/sweeps/N24/p300/diluted_N24_p300_r004_sweep.csv
24,0.3,5,3.1230974997269656,53.934749215171905,quadratic,4.200086805555555,29031,/Volumes/Untitled/publishing_data/dilution_publish_v1/size_N24/raw/dilution/graphs/N24/p300/diluted_N24_p300_r005.json,/Volumes/Untitled/publishing_data/dilution_publish_v1/size_N24/raw/dilution/sweeps/N24/p300/diluted_N24_p300_r005_sweep.csv
24,0.3,6,3.073091490863161,52.49280443112366,quadratic,4.200086805555555,29031,/Volumes/Untitled/publishing_data/dilution_publish_v1/size_N24/raw/dilution/graphs/N24/p300/diluted_N24_p300_r006.json,/Volumes/Untitled/publishing_data/dilution_publish_v1/size_N24/raw/dilution/sweeps/N24/p300/diluted_N24_p300_r006_sweep.csv
24,0.3,7,3.044124528080375,210.05479555530474,quadratic,4.200086805555555,29031,/Volumes/Untitled/publishing_data/dilution_publish_v1/size_N24/raw/dilution/graphs/N24/p300/diluted_N24_p300_r007.json,/Volumes/Untitled/publishing_data/dilution_publish_v1/size_N24/raw/dilution/sweeps/N24/p300/diluted_N24_p300_r007_sweep.csv
24,0.3,8,3.0707857862298518,151.08925437973812,quadratic,4.200086805555555,29031,/Volumes/Untitled/publishing_data/dilution_publish_v1/size_N24/raw/dilution/graphs/N24/p300/diluted_N24_p300_r008.json,/Volumes/Untitled/publishing_data/dilution_publish_v1/size_N24/raw/dilution/sweeps/N24/p300/diluted_N24_p300_r008_sweep.csv
24,0.3,10,3.078414232998123,79.77034565093345,quadratic,4.200086805555555,29031,/Volumes/Untitled/publishing_data/dilution_publish_v1/size_N24/raw/dilution/graphs/N24/p300/diluted_N24_p300_r010.json,/Volumes/Untitled/publishing_data/dilution_publish_v1/size_N24/raw/dilution/sweeps/N24/p300/diluted_N24_p300_r010_sweep.csv
24,0.3,9,3.0737451960328994,196.89065970643423,quadratic,4.200086805555555,29031,/Volumes/Untitled/publishing_data/dilution_publish_v1/size_N24/raw/dilution/graphs/N24/p300/diluted_N24_p300_r009.json,/Volumes/Untitled/publishing_data/dilution_publish_v1/size_N24/raw/dilution/sweeps/N24/p300/diluted_N24_p300_r009_sweep.csv
24,0.3,11,3.06516689274417,121.9618873600848,quadratic,4.200086805555555,29031,/Volumes/Untitled/publishing_data/dilution_publish_v1/size_N24/raw/dilution/graphs/N24/p300/diluted_N24_p300_r011.json,/Volumes/Untitled/publishing_data/dilution_publish_v1/size_N24/raw/dilution/sweeps/N24/p300/diluted_N24_p300_r011_sweep.csv
24,0.4,0,2.608270893517961,109.74706794472877,quadratic,3.600115740740741,24884,/Volumes/Untitled/publishing_data/dilution_publish_v1/size_N24/raw/dilution/graphs/N24/p400/diluted_N24_p400_r000.json,/Volumes/Untitled/publishing_data/dilution_publish_v1/size_N24/raw/dilution/sweeps/N24/p400/diluted_N24_p400_r000_sweep.csv
24,0.4,1,2.585339045460238,164.97418675594963,quadratic,3.600115740740741,24884,/Volumes/Untitled/publishing_data/dilution_publish_v1/size_N24/raw/dilution/graphs/N24/p400/diluted_N24_p400_r001.json,/Volumes/Untitled/publishing_data/dilution_publish_v1/size_N24/raw/dilution/sweeps/N24/p400/diluted_N24_p400_r001_sweep.csv
24,0.4,2,2.6206630774153616,73.14703071891563,quadratic,3.600115740740741,24884,/Volumes/Untitled/publishing_data/dilution_publish_v1/size_N24/raw/dilution/graphs/N24/p400/diluted_N24_p400_r002.json,/Volumes/Untitled/publishing_data/dilution_publish_v1/size_N24/raw/dilution/sweeps/N24/p400/diluted_N24_p400_r002_sweep.csv
24,0.4,3,2.5878185145848605,104.43738954165019,quadratic,3.600115740740741,24884,/Volumes/Untitled/publishing_data/dilution_publish_v1/size_N24/raw/dilution/graphs/N24/p400/diluted_N24_p400_r003.json,/Volumes/Untitled/publishing_data/dilution_publish_v1/size_N24/raw/dilution/sweeps/N24/p400/diluted_N24_p400_r003_sweep.csv
24,0.4,4,2.58447509206478,222.32788583030924,quadratic,3.600115740740741,24884,/Volumes/Untitled/publishing_data/dilution_publish_v1/size_N24/raw/dilution/graphs/N24/p400/diluted_N24_p400_r004.json,/Volumes/Untitled/publishing_data/dilution_publish_v1/size_N24/raw/dilution/sweeps/N24/p400/diluted_N24_p400_r004_sweep.csv
24,0.4,5,2.5857748467937927,97.09514051466249,quadratic,3.600115740740741,24884,/Volumes/Untitled/publishing_data/dilution_publish_v1/size_N24/raw/dilution/graphs/N24/p400/diluted_N24_p400_r005.json,/Volumes/Untitled/publishing_data/dilution_publish_v1/size_N24/raw/dilution/sweeps/N24/p400/diluted_N24_p400_r005_sweep.csv
24,0.4,6,2.5612528312615983,59.00692931711092,quadratic,3.600115740740741,24884,/Volumes/Untitled/publishing_data/dilution_publish_v1/size_N24/raw/dilution/graphs/N24/p400/diluted_N24_p400_r006.json,/Volumes/Untitled/publishing_data/dilution_publish_v1/size_N24/raw/dilution/sweeps/N24/p400/diluted_N24_p400_r006_sweep.csv
24,0.4,7,2.5835435668456697,128.536930416245,quadratic,3.600115740740741,24884,/Volumes/Untitled/publishing_data/dilution_publish_v1/size_N24/raw/dilution/graphs/N24/p400/diluted_N24_p400_r007.json,/Volumes/Untitled/publishing_data/dilution_publish_v1/size_N24/raw/dilution/sweeps/N24/p400/diluted_N24_p400_r007_sweep.csv
24,0.4,8,1.8280001403374615,588.102773014456,quadratic,3.600115740740741,24884,/Volumes/Untitled/publishing_data/dilution_publish_v1/size_N24/raw/dilution/graphs/N24/p400/diluted_N24_p400_r008.json,/Volumes/Untitled/publishing_data/dilution_publish_v1/size_N24/raw/dilution/sweeps/N24/p400/diluted_N24_p400_r008_sweep.csv
24,0.4,9,2.577470296915335,57.72155386007216,quadratic,3.600115740740741,24884,/Volumes/Untitled/publishing_data/dilution_publish_v1/size_N24/raw/dilution/graphs/N24/p400/diluted_N24_p400_r009.json,/Volumes/Untitled/publishing_data/dilution_publish_v1/size_N24/raw/dilution/sweeps/N24/p400/diluted_N24_p400_r009_sweep.csv
24,0.4,10,2.5300643738275777,126.61383591080084,quadratic,3.600115740740741,24884,/Volumes/Untitled/publishing_data/dilution_publish_v1/size_N24/raw/dilution/graphs/N24/p400/diluted_N24_p400_r010.json,/Volumes/Untitled/publishing_data/dilution_publish_v1/size_N24/raw/dilution/sweeps/N24/p400/diluted_N24_p400_r010_sweep.csv
24,0.4,11,2.5849734694509463,143.1936968449736,quadratic,3.600115740740741,24884,/Volumes/Untitled/publishing_data/dilution_publish_v1/size_N24/raw/dilution/graphs/N24/p400/diluted_N24_p400_r011.json,/Volumes/Untitled/publishing_data/dilution_publish_v1/size_N24/raw/dilution/sweeps/N24/p400/diluted_N24_p400_r011_sweep.csv
24,0.5,0,2.058978819122994,163.6216010613134,quadratic,3.0,20736,/Volumes/Untitled/publishing_data/dilution_publish_v1/size_N24/raw/dilution/graphs/N24/p500/diluted_N24_p500_r000.json,/Volumes/Untitled/publishing_data/dilution_publish_v1/size_N24/raw/dilution/sweeps/N24/p500/diluted_N24_p500_r000_sweep.csv
24,0.5,1,2.0732089467605075,42.24331285971857,quadratic,3.0,20736,/Volumes/Untitled/publishing_data/dilution_publish_v1/size_N24/raw/dilution/graphs/N24/p500/diluted_N24_p500_r001.json,/Volumes/Untitled/publishing_data/dilution_publish_v1/size_N24/raw/dilution/sweeps/N24/p500/diluted_N24_p500_r001_sweep.csv
24,0.5,2,1.6920055572099788,502.6332037523389,quadratic,3.0,20736,/Volumes/Untitled/publishing_data/dilution_publish_v1/size_N24/raw/dilution/graphs/N24/p500/diluted_N24_p500_r002.json,/Volumes/Untitled/publishing_data/dilution_publish_v1/size_N24/raw/dilution/sweeps/N24/p500/diluted_N24_p500_r002_sweep.csv
24,0.5,3,2.089488506079482,61.548716140547185,quadratic,3.0,20736,/Volumes/Untitled/publishing_data/dilution_publish_v1/size_N24/raw/dilution/graphs/N24/p500/diluted_N24_p500_r003.json,/Volumes/Untitled/publishing_data/dilution_publish_v1/size_N24/raw/dilution/sweeps/N24/p500/diluted_N24_p500_r003_sweep.csv
24,0.5,4,2.030393903885881,114.46830658428371,quadratic,3.0,20736,/Volumes/Untitled/publishing_data/dilution_publish_v1/size_N24/raw/dilution/graphs/N24/p500/diluted_N24_p500_r004.json,/Volumes/Untitled/publishing_data/dilution_publish_v1/size_N24/raw/dilution/sweeps/N24/p500/diluted_N24_p500_r004_sweep.csv
