T,E,E_err,M,M_err,M2,M2_err,M4,M4_err,Cv,Cv_err,chi,chi_err,Mz,Mz_err,Mz2,Mz2_err,Mz4,Mz4_err,chi_z,chi_z_err,Mxy,Mxy_err,Mxy2,Mxy2_err,Mxy4,Mxy4_err,chi_xy,chi_xy_err
0.8000,-3.783574,0.008978,0.043346,0.001026,0.001900,0.000082,0.000004,0.000000,79.755432,20.598754,0.868820,0.363841,0.043023,0.001051,0.001873,0.000083,0.000004,0.000000,0.904119,0.383613,0.004708,0.000264,0.000027,0.000003,0.000000,0.000000,0.199957,0.029608
0.8917,-3.759777,0.002365,0.075945,0.002414,0.005880,0.000368,0.000037,0.000004,5.603265,0.824199,4.126275,0.885151,0.075767,0.002423,0.005854,0.000368,0.000037,0.000004,4.156390,0.886420,0.004601,0.000240,0.000026,0.000003,0.000000,0.000000,0.185023,0.027945
0.9833,-3.684501,0.001722,0.139297,0.002426,0.019518,0.000676,0.000390,0.000027,3.083672,0.486506,3.797946,0.946889,0.139203,0.002429,0.019492,0.000677,0.000389,0.000027,3.808133,0.947637,0.004468,0.000352,0.000026,0.000004,0.000000,0.000000,0.198986,0.037845
1.0750,-3.577628,0.000799,0.198498,0.002917,0.039566,0.001149,0.001591,0.000090,1.443228,0.116072,5.013930,1.134849,0.198432,0.002918,0.039540,0.001149,0.001589,0.000090,5.017436,1.136165,0.004534,0.000264,0.000026,0.000003,0.000000,0.000000,0.171331,0.012154
1.1667,-3.450722,0.001016,0.255797,0.003136,0.065622,0.001604,0.004356,0.000211,1.650096,0.172246,5.326859,1.101635,0.255745,0.003134,0.065595,0.001603,0.004352,0.000211,5.319769,1.100641,0.004573,0.000291,0.000027,0.000003,0.000000,0.000000,0.172369,0.020981
1.2583,-3.307914,0.000931,0.326858,0.004420,0.107210,0.002905,0.011655,0.000632,1.426014,0.160807,9.738797,1.987380,0.326822,0.004422,0.107187,0.002906,0.011651,0.000632,9.746453,1.988048,0.004216,0.000262,0.000023,0.000003,0.000000,0.000000,0.135541,0.015438
1.3500,-3.172210,0.002187,0.427251,0.005859,0.183201,0.005081,0.034057,0.001926,2.780565,0.492674,15.960182,3.758344,0.427215,0.005859,0.183170,0.005081,0.034046,0.001926,15.963065,3.757510,0.004971,0.000275,0.000031,0.000003,0.000000,0.000000,0.147326,0.018345
1.4417,-3.056553,0.005233,0.586564,0.010499,0.346161,0.012500,0.122809,0.008989,9.399120,2.292251,47.807078,11.128805,0.586524,0.010501,0.346114,0.012501,0.122777,0.008988,47.822184,11.130232,0.006095,0.000394,0.000047,0.000006,0.000000,0.000000,0.216964,0.032122
1.5333,-2.999305,0.003340,0.720677,0.001617,0.519427,0.002311,0.269912,0.002360,3.970640,1.293898,1.124864,0.511005,0.720652,0.001617,0.519392,0.002310,0.269876,0.002360,1.124418,0.510817,0.005232,0.000352,0.000035,0.000004,0.000000,0.000000,0.162324,0.024081
1.6250,-2.807364,0.001672,0.684013,0.000418,0.467881,0.000573,0.218926,0.000537,1.785929,0.279199,0.145750,0.029861,0.683990,0.000418,0.467850,0.000573,0.218897,0.000537,0.145889,0.029818,0.004966,0.000353,0.000031,0.000004,0.000000,0.000000,0.132207,0.009393
1.7167,-2.575234,0.002741,0.629874,0.000777,0.396760,0.000978,0.157448,0.000776,2.903161,0.557630,0.353684,0.071275,0.629839,0.000777,0.396715,0.000979,0.157413,0.000776,0.353883,0.072016,0.005828,0.000505,0.000045,0.000007,0.000000,0.000000,0.209552,0.039663
1.8083,-2.329294,0.002389,0.562459,0.000707,0.316377,0.000794,0.100116,0.000502,2.155195,0.421747,0.308725,0.057697,0.562423,0.000705,0.316337,0.000793,0.100091,0.000501,0.307683,0.057823,0.005442,0.000445,0.000040,0.000007,0.000000,0.000000,0.190575,0.041260
1.9000,-2.025410,0.002858,0.455817,0.001449,0.207819,0.001321,0.043230,0.000549,2.263675,0.331202,0.859833,0.143911,0.455766,0.001450,0.207772,0.001321,0.043211,0.000549,0.860937,0.144274,0.006123,0.000363,0.000047,0.000005,0.000000,0.000000,0.163642,0.017104
1.9917,-1.665258,0.004730,0.220367,0.007326,0.049596,0.003321,0.002672,0.000355,4.228954,1.278032,17.020078,3.414484,0.220241,0.007322,0.049539,0.003318,0.002666,0.000355,17.004374,3.413072,0.006561,0.000542,0.000057,0.000008,0.000000,0.000000,0.227412,0.028601
2.0833,-1.493016,0.001622,0.040380,0.003846,0.001924,0.000322,0.000006,0.000002,0.731830,0.081614,4.608676,0.929381,0.039556,0.003944,0.001872,0.000323,0.000006,0.000002,4.835227,0.982701,0.006471,0.000349,0.000051,0.000005,0.000000,0.000000,0.150333,0.014140
2.1750,-1.427052,0.001490,0.015656,0.001791,0.000320,0.000069,0.000000,0.000000,0.622160,0.100169,1.123749,0.284105,0.013272,0.002084,0.000273,0.000071,0.000000,0.000000,1.452029,0.339631,0.006055,0.000377,0.000047,0.000006,0.000000,0.000000,0.158634,0.022109
2.2667,-1.377583,0.001254,0.011214,0.001134,0.000160,0.000033,0.000000,0.000000,0.438450,0.065929,0.488352,0.140267,0.007943,0.001322,0.000105,0.000031,0.000000,0.000000,0.610015,0.174297,0.006652,0.000290,0.000054,0.000005,0.000000,0.000000,0.144629,0.017855
2.3583,-1.337680,0.001159,0.011268,0.001047,0.000155,0.000029,0.000000,0.000000,0.394485,0.059782,0.395026,0.110056,0.008531,0.001143,0.000109,0.000027,0.000000,0.000000,0.497639,0.130766,0.006068,0.000402,0.000047,0.000005,0.000000,0.000000,0.138519,0.016017
2.4500,-1.302748,0.000599,0.009080,0.000620,0.000098,0.000014,0.000000,0.000000,0.318418,0.038031,0.211925,0.051228,0.005572,0.000872,0.000054,0.000015,0.000000,0.000000,0.305984,0.080996,0.006030,0.000284,0.000044,0.000004,0.000000,0.000000,0.107171,0.013183
2.5417,-1.270913,0.001015,0.010684,0.001027,0.000141,0.000027,0.000000,0.000000,0.306902,0.037272,0.349245,0.087665,0.008053,0.001141,0.000099,0.000025,0.000000,0.000000,0.442125,0.107686,0.005784,0.000320,0.000042,0.000005,0.000000,0.000000,0.111360,0.019761
2.6333,-1.243048,0.000758,0.008270,0.000645,0.000084,0.000014,0.000000,0.000000,0.252360,0.024278,0.190752,0.056477,0.005490,0.000708,0.000048,0.000013,0.000000,0.000000,0.222833,0.076034,0.005359,0.000291,0.000036,0.000004,0.000000,0.000000,0.086613,0.010038
2.7250,-1.220498,0.000888,0.008953,0.000682,0.000097,0.000014,0.000000,0.000000,0.242287,0.032247,0.198876,0.036388,0.005671,0.000780,0.000051,0.000013,0.000000,0.000000,0.225375,0.064995,0.005835,0.000506,0.000046,0.000008,0.000000,0.000000,0.141055,0.028769
2.8167,-1.194572,0.000869,0.009218,0.000838,0.000107,0.000021,0.000000,0.000000,0.228752,0.025688,0.253940,0.084449,0.006447,0.000980,0.000068,0.000021,0.000000,0.000000,0.308969,0.111299,0.005514,0.000357,0.000039,0.000005,0.000000,0.000000,0.096244,0.012772
2.9083,-1.175345,0.000789,0.007132,0.000480,0.000061,0.000009,0.000000,0.000000,0.198711,0.029699,0.115700,0.027890,0.004286,0.000504,0.000030,0.000007,0.000000,0.000000,0.129958,0.031035,0.004994,0.000350,0.000031,0.000004,0.000000,0.000000,0.070832,0.009788
3.0000,-1.157316,0.000785,0.007433,0.000468,0.000066,0.000009,0.000000,0.000000,0.181870,0.019771,0.119350,0.026086,0.004133,0.000586,0.000030,0.000009,0.000000,0.000000,0.142832,0.049867,0.005397,0.000210,0.000036,0.000003,0.000000,0.000000,0.075267,0.006774
