T,E,M,M2,M4,Cv,chi
3.8000,-2.133745,0.815192,0.666695,0.450027,1.014328,0.290601
3.8233,-2.107450,0.808027,0.655226,0.435154,1.029415,0.310523
3.8467,-2.084873,0.802089,0.645869,0.423384,1.080791,0.335681
3.8700,-2.057532,0.794637,0.634147,0.408676,1.110323,0.357050
3.8933,-2.027843,0.785950,0.620634,0.392076,1.134851,0.383557
3.9167,-2.010948,0.781234,0.613348,0.383222,1.128764,0.394966
3.9400,-1.978283,0.771531,0.598707,0.366185,1.195349,0.447840
3.9633,-1.947708,0.762934,0.585667,0.350901,1.188358,0.464949
3.9867,-1.921984,0.754980,0.573885,0.337660,1.224186,0.499654
4.0100,-1.893381,0.746165,0.561021,0.323508,1.252776,0.543731
4.0333,-1.871949,0.739324,0.551077,0.312742,1.252905,0.568355
4.0567,-1.832520,0.726582,0.532871,0.293637,1.313646,0.624703
4.0800,-1.805891,0.718016,0.521015,0.281698,1.357117,0.686138
4.1033,-1.771004,0.706006,0.504671,0.265662,1.394577,0.776943
4.1267,-1.749668,0.699023,0.494999,0.256072,1.358668,0.789827
4.1500,-1.710081,0.684235,0.476018,0.239006,1.495094,0.967354
4.1733,-1.670303,0.668502,0.456137,0.221689,1.547538,1.133935
4.1967,-1.638464,0.657011,0.441077,0.208309,1.537921,1.148483
4.2200,-1.600804,0.641625,0.422385,0.192929,1.562823,1.298573
4.2433,-1.558166,0.622477,0.400912,0.176788,1.649091,1.621104
4.2667,-1.528312,0.610345,0.386794,0.166099,1.672994,1.712753
4.2900,-1.485369,0.590630,0.365387,0.150902,1.725306,1.974395
4.3133,-1.437420,0.566326,0.339660,0.133816,1.749640,2.247527
4.3367,-1.398285,0.546232,0.319956,0.121586,1.785916,2.548620
4.3600,-1.348317,0.519806,0.294450,0.106430,1.766877,2.847907
4.3833,-1.320345,0.503583,0.279876,0.098347,1.748201,3.069665
4.4067,-1.270717,0.476709,0.254628,0.084451,1.716532,3.180809
4.4300,-1.239466,0.460033,0.239766,0.076463,1.653364,3.251804
4.4533,-1.206316,0.435230,0.220327,0.067779,1.620124,3.552803
4.4767,-1.165354,0.411287,0.200610,0.058383,1.528297,3.597239
4.5000,-1.120271,0.381152,0.176167,0.047269,1.352142,3.514629
4.5233,-1.083132,0.359587,0.160149,0.040911,1.308304,3.491533
4.5467,-1.051029,0.336514,0.143693,0.034790,1.225563,3.429053
4.5700,-1.035652,0.327129,0.136996,0.032304,1.180143,3.359066
4.5933,-1.009588,0.309025,0.124026,0.027245,1.042299,3.180119
4.6167,-0.983151,0.290900,0.112391,0.023360,0.944413,3.079556
4.6400,-0.962286,0.274501,0.102971,0.020879,0.932670,3.047741
4.6633,-0.935904,0.258343,0.091466,0.016815,0.789424,2.714631
4.6867,-0.927068,0.252681,0.088147,0.015839,0.757698,2.654609
4.7100,-0.906911,0.239616,0.080257,0.013504,0.681750,2.482942
4.7333,-0.891326,0.226830,0.073115,0.011655,0.634237,2.343237
4.7567,-0.875256,0.215355,0.066818,0.010020,0.595368,2.200184
4.7800,-0.862532,0.209782,0.062863,0.008928,0.546309,2.019571
4.8033,-0.844160,0.199265,0.057854,0.007778,0.521137,1.934384
4.8267,-0.844113,0.198864,0.057272,0.007557,0.489613,1.880266
4.8500,-0.831126,0.192120,0.053295,0.006601,0.459274,1.729740
4.8733,-0.815139,0.181672,0.049289,0.005981,0.452869,1.710846
4.8967,-0.813297,0.175970,0.046161,0.005311,0.409236,1.588903
4.9200,-0.801679,0.171706,0.043825,0.004782,0.375884,1.492474
4.9433,-0.792218,0.168663,0.041873,0.004356,0.374727,1.390521
4.9667,-0.781404,0.160511,0.038907,0.003925,0.351081,1.354879
4.9900,-0.773235,0.156598,0.037107,0.003618,0.359581,1.291227
5.0133,-0.755482,0.149064,0.033899,0.003187,0.329092,1.192766
5.0367,-0.762454,0.149442,0.033388,0.002852,0.305183,1.123802
5.0600,-0.748498,0.143255,0.031294,0.002643,0.314407,1.089942
5.0833,-0.739511,0.140950,0.030011,0.002370,0.273266,1.021732
5.1067,-0.751404,0.146833,0.032611,0.002829,0.284713,1.108003
5.1300,-0.722231,0.135770,0.027839,0.002047,0.262607,0.938711
5.1533,-0.731058,0.134764,0.027776,0.002066,0.286456,0.955228
5.1767,-0.716121,0.129464,0.025655,0.001803,0.248484,0.879618
5.2000,-0.709346,0.125870,0.024755,0.001728,0.249286,0.877493
