T,E,M,M2,M4,Cv,chi
3.8000,-2.133358,0.815103,0.664532,0.441972,1.017550,0.292856
3.8233,-2.108509,0.808467,0.653764,0.427789,1.031927,0.305863
3.8467,-2.083436,0.801570,0.642669,0.413420,1.042747,0.321602
3.8700,-2.059016,0.794857,0.631967,0.399811,1.088828,0.351552
3.8933,-2.032013,0.787391,0.620166,0.385056,1.100412,0.373842
3.9167,-2.007421,0.780384,0.609191,0.371578,1.112545,0.390414
3.9400,-1.980427,0.772562,0.597061,0.356980,1.157998,0.424740
3.9633,-1.951942,0.764082,0.584048,0.341640,1.194456,0.458155
3.9867,-1.924059,0.755720,0.571365,0.327030,1.266017,0.505405
4.0100,-1.896445,0.747253,0.558643,0.312653,1.221951,0.511159
4.0333,-1.868100,0.738421,0.545546,0.298229,1.239114,0.556169
4.0567,-1.836257,0.728318,0.530749,0.282333,1.277328,0.596362
4.0800,-1.804687,0.717715,0.515450,0.266376,1.312997,0.658281
4.1033,-1.773664,0.707343,0.500707,0.251449,1.377365,0.727475
4.1267,-1.741257,0.696324,0.485280,0.236292,1.417889,0.800198
4.1500,-1.707783,0.684273,0.468679,0.220497,1.433159,0.865973
4.1733,-1.675822,0.672671,0.452995,0.206117,1.473635,0.974736
4.1967,-1.638118,0.658388,0.434038,0.189358,1.531086,1.074468
4.2200,-1.604149,0.645258,0.416991,0.174923,1.573189,1.200098
4.2433,-1.567295,0.630153,0.397801,0.159357,1.613815,1.335120
4.2667,-1.527515,0.613161,0.376778,0.143162,1.643330,1.522553
4.2900,-1.487658,0.595303,0.355361,0.127641,1.756667,1.818949
4.3133,-1.448154,0.577682,0.334768,0.113445,1.728889,1.951181
4.3367,-1.406301,0.556258,0.310809,0.098266,1.924530,2.558477
4.3600,-1.362052,0.533008,0.285660,0.083320,1.863127,2.866641
4.3833,-1.315819,0.506811,0.258925,0.069053,2.061728,3.774369
4.4067,-1.268374,0.476900,0.230273,0.055378,2.134589,5.155504
4.4300,-1.217460,0.440499,0.198309,0.042090,2.298681,7.709964
4.4533,-1.163357,0.393635,0.162122,0.029715,2.566947,12.886697
4.4767,-1.107115,0.338945,0.124844,0.019099,2.427573,17.798933
4.5000,-1.043100,0.261454,0.081403,0.009804,2.250897,23.189842
4.5233,-1.003058,0.210235,0.055854,0.005286,1.628236,20.614319
4.5467,-0.967433,0.163772,0.036754,0.002682,1.216319,17.476359
4.5700,-0.941150,0.128761,0.024192,0.001391,0.950579,13.326397
4.5933,-0.925877,0.113837,0.019190,0.000913,0.746377,10.852112
4.6167,-0.907658,0.095895,0.013838,0.000501,0.575946,8.043463
4.6400,-0.891357,0.086392,0.011350,0.000347,0.556733,6.700805
4.6633,-0.885425,0.081322,0.010068,0.000270,0.521047,5.926732
4.6867,-0.870422,0.071668,0.007939,0.000179,0.503192,4.784137
4.7100,-0.855964,0.064265,0.006347,0.000112,0.462156,3.764919
4.7333,-0.848867,0.061949,0.005837,0.000095,0.404167,3.379793
4.7567,-0.845608,0.059777,0.005591,0.000090,0.421208,3.393727
4.7800,-0.830392,0.056029,0.004849,0.000066,0.434182,2.860892
4.8033,-0.821256,0.051509,0.004091,0.000046,0.394430,2.394118
4.8267,-0.814338,0.050125,0.003852,0.000042,0.317811,2.220151
4.8500,-0.801467,0.048669,0.003681,0.000040,0.366793,2.164387
4.8733,-0.796591,0.046039,0.003292,0.000031,0.286564,1.924410
4.8967,-0.789229,0.045649,0.003220,0.000030,0.373701,1.856435
4.9200,-0.780809,0.042948,0.002918,0.000026,0.331759,1.744914
4.9433,-0.776006,0.041291,0.002641,0.000021,0.259111,1.514606
4.9667,-0.767327,0.038581,0.002366,0.000017,0.246508,1.413618
4.9900,-0.764370,0.040104,0.002530,0.000020,0.280918,1.477589
5.0133,-0.755164,0.039791,0.002466,0.000018,0.334661,1.407997
5.0367,-0.749859,0.037100,0.002136,0.000014,0.217663,1.206465
5.0600,-0.738293,0.036786,0.002122,0.000013,0.267433,1.216055
5.0833,-0.743720,0.035498,0.001978,0.000012,0.319095,1.129101
5.1067,-0.720624,0.032179,0.001570,0.000006,0.237663,0.837166
5.1300,-0.718720,0.034849,0.001867,0.000010,0.234209,1.017535
5.1533,-0.711249,0.033487,0.001759,0.000009,0.229190,0.989757
5.1767,-0.718707,0.034891,0.001845,0.000010,0.220454,0.969519
5.2000,-0.700025,0.029358,0.001353,0.000005,0.208041,0.755613
