T,E,M,M2,M4,Cv,chi
3.8000,-2.132351,0.814799,0.663932,0.440898,1.036992,0.297098
3.8233,-2.108468,0.808425,0.653586,0.427268,1.026862,0.304106
3.8467,-2.083808,0.801709,0.642775,0.413258,1.046482,0.326459
3.8700,-2.058721,0.794786,0.631726,0.399182,1.086484,0.350106
3.8933,-2.033351,0.787708,0.620529,0.385168,1.126803,0.379351
3.9167,-2.006644,0.780116,0.608627,0.370542,1.127494,0.394976
3.9400,-1.980400,0.772499,0.596805,0.356297,1.157142,0.420000
3.9633,-1.953524,0.764555,0.584600,0.341886,1.188639,0.457258
3.9867,-1.924572,0.755863,0.571388,0.326621,1.225751,0.491610
4.0100,-1.895916,0.747093,0.558211,0.311743,1.251951,0.524237
4.0333,-1.866260,0.737776,0.544383,0.296504,1.266659,0.562926
4.0567,-1.837129,0.728480,0.530756,0.281859,1.272537,0.597141
4.0800,-1.805253,0.718002,0.515608,0.266019,1.310876,0.652119
4.1033,-1.774400,0.707629,0.500832,0.251019,1.403389,0.746235
4.1267,-1.741298,0.696190,0.484781,0.235206,1.396660,0.794576
4.1500,-1.708835,0.684670,0.468882,0.220054,1.417620,0.858451
4.1733,-1.674392,0.672140,0.451896,0.204433,1.513416,0.970453
4.1967,-1.638847,0.658669,0.433983,0.188580,1.536706,1.076169
4.2200,-1.602579,0.644576,0.415634,0.173010,1.594425,1.212173
4.2433,-1.566210,0.629654,0.396634,0.157586,1.571210,1.309580
4.2667,-1.528405,0.613598,0.376696,0.142188,1.612769,1.478373
4.2900,-1.489127,0.596242,0.355733,0.126870,1.694316,1.744151
4.3133,-1.447932,0.577047,0.333249,0.111408,1.779138,2.017813
4.3367,-1.405880,0.556288,0.309777,0.096356,1.813530,2.422255
4.3600,-1.362807,0.533574,0.285099,0.081730,1.986251,2.989258
4.3833,-1.316392,0.507153,0.257682,0.066887,1.950456,3.572266
4.4067,-1.269311,0.477891,0.229022,0.053028,2.094101,4.776618
4.4300,-1.217283,0.441599,0.195905,0.039059,2.259986,6.619597
4.4533,-1.162423,0.396989,0.158937,0.026069,2.246405,9.842173
4.4767,-1.103468,0.336162,0.116302,0.014757,2.792157,24.134392
4.5000,-1.039269,0.245925,0.067369,0.005855,2.752403,50.170946
4.5233,-0.985118,0.140303,0.026551,0.001368,1.724752,49.740337
4.5467,-0.955296,0.090501,0.011991,0.000344,0.835846,27.390165
4.5700,-0.933894,0.070965,0.007669,0.000161,0.799345,18.875393
4.5933,-0.922041,0.057653,0.004992,0.000064,0.540733,11.897216
4.6167,-0.907437,0.051453,0.004134,0.000050,0.565175,10.554378
4.6400,-0.897013,0.044298,0.003060,0.000025,0.488573,7.754989
4.6633,-0.875917,0.039441,0.002415,0.000017,0.528274,6.035950
4.6867,-0.872370,0.034186,0.001871,0.000011,0.376332,4.910579
4.7100,-0.852347,0.032504,0.001638,0.000008,0.431221,4.044048
4.7333,-0.845452,0.028412,0.001257,0.000004,0.372981,3.111696
4.7567,-0.840543,0.031358,0.001503,0.000006,0.476698,3.580551
4.7800,-0.820871,0.026288,0.001078,0.000003,0.449940,2.652382
4.8033,-0.822544,0.027732,0.001195,0.000004,0.293519,2.908367
4.8267,-0.813557,0.025759,0.001045,0.000003,0.349774,2.591298
4.8500,-0.809919,0.024260,0.000943,0.000003,0.285278,2.394614
4.8733,-0.793710,0.021873,0.000731,0.000001,0.212063,1.699513
4.8967,-0.785219,0.021902,0.000748,0.000002,0.287677,1.795682
4.9200,-0.777679,0.022043,0.000756,0.000002,0.180162,1.800419
4.9433,-0.773079,0.020313,0.000631,0.000001,0.203845,1.449618
4.9667,-0.768613,0.019798,0.000631,0.000001,0.164403,1.577307
4.9900,-0.758095,0.020828,0.000670,0.000001,0.312291,1.551298
5.0133,-0.750942,0.018498,0.000566,0.000001,0.328817,1.464158
5.0367,-0.750274,0.019602,0.000618,0.000001,0.185500,1.520948
5.0600,-0.746334,0.017284,0.000486,0.000001,0.169979,1.210125
5.0833,-0.734583,0.015752,0.000390,0.000000,0.191748,0.914263
5.1067,-0.724004,0.014504,0.000347,0.000000,0.312138,0.873712
5.1300,-0.728104,0.017352,0.000439,0.000000,0.192020,0.879439
5.1533,-0.716688,0.016022,0.000400,0.000000,0.125864,0.911218
5.1767,-0.711245,0.015482,0.000398,0.000001,0.308512,1.001395
5.2000,-0.708485,0.017509,0.000461,0.000001,0.213422,0.973131
