T,E,M,M2,M4,Cv,chi
3.8000,-2.132413,0.814805,0.663924,0.440841,1.012101,0.293449
3.8233,-2.108485,0.808405,0.653538,0.427161,1.055105,0.315545
3.8467,-2.083899,0.801749,0.642821,0.413270,1.074080,0.330243
3.8700,-2.058751,0.794825,0.631768,0.399184,1.087467,0.350413
3.8933,-2.033070,0.787616,0.620362,0.384906,1.124318,0.379064
3.9167,-2.006875,0.780134,0.608633,0.370495,1.153811,0.407796
3.9400,-1.980375,0.772517,0.596808,0.356241,1.151631,0.420634
3.9633,-1.952255,0.764203,0.584035,0.341164,1.218465,0.464188
3.9867,-1.924787,0.755951,0.571493,0.326676,1.240663,0.501686
4.0100,-1.895824,0.747048,0.558113,0.311563,1.230684,0.519412
4.0333,-1.867080,0.738061,0.544770,0.296854,1.299331,0.577815
4.0567,-1.836604,0.728244,0.530378,0.281382,1.283212,0.606469
4.0800,-1.805990,0.718262,0.515942,0.266283,1.339238,0.662272
4.1033,-1.773669,0.707384,0.500439,0.250533,1.375459,0.731544
4.1267,-1.742027,0.696483,0.485139,0.235458,1.397323,0.788566
4.1500,-1.708632,0.684606,0.468742,0.219825,1.452927,0.873270
4.1733,-1.674518,0.672106,0.451790,0.204228,1.488107,0.968312
4.1967,-1.639468,0.658857,0.434163,0.188619,1.522789,1.069381
4.2200,-1.603117,0.644667,0.415674,0.172917,1.569101,1.203257
4.2433,-1.566867,0.629961,0.396940,0.157702,1.624829,1.342120
4.2667,-1.528276,0.613523,0.376516,0.141923,1.707209,1.580524
4.2900,-1.489097,0.596126,0.355483,0.126534,1.679090,1.743781
4.3133,-1.447409,0.576646,0.332657,0.110842,1.748330,2.032585
4.3367,-1.406130,0.556184,0.309504,0.095994,1.810501,2.407151
4.3600,-1.361574,0.532874,0.284155,0.080971,1.907049,2.946160
4.3833,-1.315544,0.506408,0.256713,0.066170,2.066063,3.848036
4.4067,-1.267879,0.476804,0.227674,0.052134,2.068045,4.821828
4.4300,-1.216380,0.440739,0.194712,0.038266,2.197121,6.657909
4.4533,-1.162584,0.397606,0.158825,0.025674,2.401714,10.554198
4.4767,-1.104567,0.339317,0.116539,0.014186,2.698509,20.061264
4.5000,-1.037293,0.238368,0.061962,0.004750,3.089154,73.140173
4.5233,-0.977713,0.111278,0.016989,0.000583,1.520453,65.171079
4.5467,-0.954813,0.070781,0.007336,0.000130,0.831714,32.745024
4.5700,-0.934008,0.047853,0.003525,0.000036,0.820258,17.301886
4.5933,-0.918012,0.041601,0.002680,0.000021,0.676922,13.231770
4.6167,-0.900610,0.032751,0.001657,0.000008,0.631871,8.106355
4.6400,-0.882671,0.029739,0.001369,0.000005,0.837654,6.684554
4.6633,-0.878871,0.026904,0.001166,0.000004,0.591412,6.062574
4.6867,-0.863358,0.024644,0.000954,0.000003,0.291209,4.733462
4.7100,-0.857959,0.022164,0.000781,0.000002,0.365718,3.935155
4.7333,-0.841995,0.020676,0.000664,0.000001,0.354234,3.196407
4.7567,-0.843530,0.021386,0.000748,0.000002,0.274103,3.904278
4.7800,-0.829859,0.019216,0.000568,0.000001,0.336663,2.660137
4.8033,-0.821102,0.020375,0.000613,0.000001,0.391045,2.632873
4.8267,-0.814976,0.015946,0.000409,0.000001,0.186114,2.056439
4.8500,-0.809786,0.017059,0.000454,0.000001,0.330782,2.154418
4.8733,-0.791967,0.017872,0.000484,0.000001,0.274298,2.156758
4.8967,-0.789595,0.015293,0.000376,0.000000,0.278883,1.858760
4.9200,-0.773148,0.015822,0.000391,0.000000,0.192992,1.829230
4.9433,-0.774243,0.017131,0.000445,0.000001,0.202711,1.963023
4.9667,-0.766907,0.013569,0.000279,0.000000,0.312003,1.218054
4.9900,-0.758393,0.013403,0.000302,0.000000,0.158261,1.564650
5.0133,-0.747587,0.012802,0.000259,0.000000,0.204620,1.220079
5.0367,-0.752005,0.011820,0.000227,0.000000,0.178967,1.113149
5.0600,-0.746821,0.011130,0.000204,0.000000,0.249211,1.010709
5.0833,-0.741605,0.010671,0.000183,0.000000,0.151889,0.865646
5.1067,-0.722477,0.011957,0.000227,0.000000,0.100535,1.056879
5.1300,-0.720065,0.010394,0.000184,0.000000,0.125477,0.951949
5.1533,-0.719608,0.010443,0.000171,0.000000,0.181953,0.771825
5.1767,-0.712404,0.012029,0.000228,0.000000,0.122606,1.027309
5.2000,-0.681654,0.012122,0.000216,0.000000,5.258255,0.852587
