T,E,M,M2,M4,Cv,chi
3.8000,-2.131627,0.814601,0.663843,0.441396,1.009064,0.288969
3.8233,-2.108902,0.808498,0.653954,0.428401,1.029251,0.306291
3.8467,-2.085320,0.802131,0.643723,0.415170,1.064473,0.328948
3.8700,-2.058684,0.794750,0.631961,0.400210,1.090444,0.352023
3.8933,-2.034524,0.788007,0.621309,0.386898,1.109651,0.371612
3.9167,-2.007078,0.780199,0.609089,0.371906,1.133688,0.395629
3.9400,-1.979429,0.772167,0.596655,0.356974,1.164301,0.428676
3.9633,-1.953747,0.764539,0.584960,0.343200,1.178745,0.455114
3.9867,-1.924197,0.755735,0.571603,0.327792,1.198864,0.480943
4.0100,-1.895370,0.746965,0.558472,0.313030,1.236567,0.525946
4.0333,-1.864697,0.737309,0.544184,0.297345,1.279913,0.568673
4.0567,-1.834812,0.727714,0.530188,0.282397,1.329955,0.625564
4.0800,-1.804356,0.717757,0.515862,0.267511,1.376917,0.689723
4.1033,-1.774191,0.707655,0.501513,0.252971,1.367121,0.735794
4.1267,-1.743261,0.696888,0.486444,0.238144,1.400232,0.784620
4.1500,-1.709544,0.685005,0.470079,0.222540,1.385807,0.836207
4.1733,-1.672227,0.671286,0.451621,0.205732,1.503960,0.977645
4.1967,-1.640056,0.659116,0.435569,0.191651,1.588473,1.108232
4.2200,-1.603701,0.645007,0.417269,0.176121,1.574923,1.199474
4.2433,-1.569529,0.630774,0.399277,0.161595,1.634506,1.352150
4.2667,-1.528150,0.613721,0.378220,0.145351,1.653998,1.504042
4.2900,-1.488203,0.595907,0.356927,0.129891,1.710467,1.740199
4.3133,-1.450810,0.578544,0.336760,0.116042,1.689509,1.943035
4.3367,-1.405693,0.555924,0.311679,0.100224,1.858406,2.481240
4.3600,-1.362845,0.533115,0.287605,0.086211,1.965931,3.187971
4.3833,-1.313158,0.504147,0.258894,0.071098,2.127391,4.419701
4.4067,-1.270333,0.477830,0.233761,0.058894,2.113522,5.055638
4.4300,-1.212411,0.435061,0.197539,0.044010,2.226166,7.638155
4.4533,-1.152009,0.381951,0.158790,0.030900,2.418826,11.868097
4.4767,-1.107114,0.341891,0.131439,0.022532,2.195494,13.311992
4.5000,-1.051928,0.285397,0.097213,0.014011,1.915564,14.346220
4.5233,-1.014830,0.241419,0.074426,0.009423,1.788659,14.617954
4.5467,-0.982870,0.205966,0.056274,0.005961,1.310453,12.479459
4.5700,-0.950003,0.170214,0.040440,0.003448,1.049529,10.277593
4.5933,-0.929853,0.149176,0.031756,0.002239,0.829266,8.473429
4.6167,-0.915583,0.133629,0.025957,0.001601,0.693611,7.186973
4.6400,-0.894782,0.116016,0.020008,0.000985,0.561525,5.780628
4.6633,-0.884924,0.108991,0.018100,0.000885,0.567088,5.464111
4.6867,-0.872815,0.103943,0.016226,0.000680,0.500068,4.738256
4.7100,-0.861302,0.094567,0.013653,0.000498,0.431023,4.095602
4.7333,-0.847697,0.085770,0.011249,0.000348,0.455346,3.368642
4.7567,-0.831228,0.078112,0.009482,0.000260,0.407068,2.911080
4.7800,-0.826684,0.075907,0.009117,0.000244,0.445766,2.874748
4.8033,-0.825283,0.073926,0.008453,0.000206,0.374005,2.547497
4.8267,-0.809160,0.070519,0.007764,0.000173,0.363140,2.368705
4.8500,-0.802308,0.069067,0.007478,0.000169,0.331062,2.287023
4.8733,-0.800643,0.070559,0.007505,0.000149,0.324871,2.123133
4.8967,-0.787094,0.061745,0.005961,0.000104,0.313239,1.797417
4.9200,-0.784602,0.060909,0.005759,0.000096,0.296853,1.706193
4.9433,-0.775189,0.055954,0.004961,0.000076,0.298583,1.516540
4.9667,-0.768342,0.059830,0.005495,0.000089,0.278925,1.579909
4.9900,-0.753201,0.053296,0.004438,0.000057,0.301146,1.311736
5.0133,-0.748765,0.053497,0.004500,0.000060,0.297043,1.337938
5.0367,-0.746128,0.052815,0.004362,0.000055,0.275043,1.278682
5.0600,-0.744046,0.050449,0.004071,0.000051,0.236422,1.235446
5.0833,-0.741278,0.050607,0.003990,0.000047,0.259132,1.151077
5.1067,-0.724247,0.049615,0.003825,0.000043,0.226935,1.093929
5.1300,-0.724959,0.046563,0.003404,0.000034,0.244710,0.987001
5.1533,-0.724348,0.047517,0.003494,0.000035,0.193197,0.982677
5.1767,-0.713662,0.045294,0.003305,0.000036,0.194342,0.991992
5.2000,-0.713036,0.044301,0.003054,0.000028,0.237109,0.859766
