T,E,E_err,M,M_err,M2,M2_err,M4,M4_err,Cv,Cv_err,chi,chi_err
4.400000,-1.280065,0.001174,0.483187,0.001023,0.238853,0.000859,0.061308,0.000355,2.131266,0.034862,5.011970,0.166325
4.407097,-1.264437,0.001165,0.472840,0.000844,0.229515,0.000728,0.057123,0.000328,2.182570,0.024618,5.518147,0.130091
4.414194,-1.249412,0.000910,0.462855,0.000751,0.220622,0.000649,0.053170,0.000280,2.167242,0.029094,5.927099,0.119194
4.421290,-1.234077,0.000936,0.451234,0.000846,0.210962,0.000655,0.049269,0.000250,2.227400,0.021179,6.809153,0.128002
4.428387,-1.217457,0.000728,0.438573,0.000705,0.200759,0.000547,0.045347,0.000225,2.313795,0.036204,7.781272,0.137815
4.435484,-1.199347,0.000670,0.424073,0.000830,0.189352,0.000586,0.041073,0.000203,2.321678,0.023950,8.785881,0.161326
4.442581,-1.184643,0.001130,0.412011,0.001139,0.179968,0.000855,0.037642,0.000304,2.288922,0.021459,9.418245,0.150461
4.449677,-1.168963,0.001363,0.398245,0.001422,0.169781,0.001021,0.034239,0.000336,2.332425,0.024639,10.292826,0.208230
4.456774,-1.150844,0.001117,0.382420,0.001154,0.158613,0.000799,0.030699,0.000256,2.342910,0.021935,11.367175,0.178696
4.463871,-1.136217,0.000859,0.368810,0.001107,0.149292,0.000664,0.027867,0.000191,2.341627,0.027003,12.177397,0.223080
4.470968,-1.120881,0.001318,0.354241,0.001641,0.139482,0.001002,0.024952,0.000277,2.308378,0.024307,12.821078,0.229718
4.478065,-1.102984,0.001256,0.337446,0.001686,0.128242,0.000966,0.021658,0.000239,2.170651,0.017932,13.145673,0.238695
4.485161,-1.089739,0.001254,0.324094,0.001758,0.119987,0.001040,0.019521,0.000263,2.132711,0.020242,13.652882,0.180205
4.492258,-1.073810,0.001128,0.306897,0.001423,0.109816,0.000830,0.017000,0.000208,2.050481,0.029169,14.251592,0.176795
4.499355,-1.058759,0.000776,0.290001,0.000978,0.100223,0.000507,0.014830,0.000125,1.980748,0.022716,14.676896,0.164656
4.506452,-1.044889,0.000838,0.275273,0.001164,0.091873,0.000661,0.012932,0.000158,1.889599,0.021194,14.631122,0.139830
4.513548,-1.031253,0.000882,0.260547,0.001290,0.083787,0.000636,0.011149,0.000130,1.745028,0.019006,14.431064,0.149167
4.520645,-1.018897,0.001071,0.246328,0.001528,0.076116,0.000743,0.009558,0.000150,1.667045,0.022001,13.988604,0.171720
4.527742,-1.006325,0.000885,0.231613,0.001347,0.068581,0.000671,0.008087,0.000131,1.515350,0.017429,13.512531,0.132382
4.534839,-0.996336,0.000683,0.221209,0.001118,0.063507,0.000548,0.007166,0.000109,1.439825,0.018612,13.163306,0.124713
4.541935,-0.986395,0.000815,0.210389,0.001359,0.058373,0.000670,0.006260,0.000129,1.352273,0.020610,12.724375,0.138936
4.549032,-0.978565,0.000651,0.201319,0.001233,0.054169,0.000490,0.005536,0.000077,1.269332,0.015902,12.281516,0.105303
4.556129,-0.969918,0.000803,0.191958,0.001374,0.049698,0.000582,0.004788,0.000089,1.163875,0.017910,11.552240,0.101591
4.563226,-0.961267,0.000572,0.182512,0.001203,0.045795,0.000504,0.004236,0.000075,1.112455,0.011771,11.206483,0.111373
4.570323,-0.954073,0.000652,0.172936,0.001087,0.041711,0.000478,0.003645,0.000082,1.029760,0.016178,10.579007,0.129308
4.577419,-0.946988,0.000542,0.166040,0.001094,0.038691,0.000387,0.003205,0.000051,0.981798,0.014911,9.952399,0.114863
4.584516,-0.939913,0.000684,0.158457,0.000892,0.035630,0.000341,0.002777,0.000048,0.900083,0.011921,9.400260,0.101677
4.591613,-0.933817,0.000534,0.151203,0.001093,0.032862,0.000417,0.002438,0.000055,0.852998,0.010703,8.920415,0.111033
4.598710,-0.927234,0.000478,0.143830,0.000761,0.030121,0.000275,0.002113,0.000030,0.807558,0.008363,8.403006,0.070642
4.605806,-0.922412,0.000504,0.139964,0.000809,0.028608,0.000299,0.001929,0.000038,0.774815,0.010796,8.020174,0.103058
4.612903,-0.915697,0.000337,0.134510,0.000684,0.026524,0.000232,0.001675,0.000028,0.717161,0.007118,7.486297,0.067618
4.620000,-0.910208,0.000597,0.129225,0.000868,0.024697,0.000283,0.001490,0.000032,0.687365,0.009511,7.090509,0.075358
