T,E,E_err,M,M_err,M2,M2_err,M4,M4_err,Cv,Cv_err,chi,chi_err
1.350000,-1.233609,0.000149,0.401832,0.000119,0.161498,0.000095,0.026100,0.000031,2.737418,0.096419,5.582487,0.066951
1.360526,-1.209333,0.000195,0.385786,0.000138,0.148864,0.000107,0.022180,0.000032,2.852297,0.115444,6.385112,0.133938
1.371053,-1.184992,0.000116,0.368834,0.000110,0.136076,0.000081,0.018537,0.000022,2.769764,0.117032,7.075425,0.141007
1.381579,-1.159742,0.000171,0.349931,0.000139,0.122494,0.000097,0.015025,0.000023,2.695659,0.113038,8.031796,0.187795
1.392105,-1.133508,0.000199,0.328544,0.000196,0.107992,0.000128,0.011684,0.000028,2.951791,0.103664,9.589605,0.147234
1.402632,-1.106912,0.000132,0.304660,0.000144,0.092882,0.000088,0.008651,0.000016,3.120615,0.144008,11.956477,0.239173
1.413158,-1.079136,0.000116,0.276380,0.000162,0.076469,0.000089,0.005873,0.000014,3.028446,0.103012,15.342367,0.324509
1.423684,-1.050183,0.000167,0.241370,0.000293,0.058380,0.000140,0.003436,0.000016,2.998869,0.120919,22.269318,0.458753
1.434211,-1.019109,0.000257,0.192733,0.000577,0.037380,0.000216,0.001431,0.000016,3.120132,0.145337,42.740128,1.552886
1.444737,-0.986386,0.000309,0.110644,0.001111,0.013041,0.000238,0.000206,0.000007,3.317376,0.189587,145.021063,4.584437
1.455263,-0.960654,0.000118,0.049144,0.000434,0.002796,0.000045,0.000012,0.000000,1.985765,0.066473,68.593891,1.374313
1.465789,-0.940900,0.000125,0.031945,0.000165,0.001197,0.000012,0.000002,0.000000,1.726010,0.060840,31.583005,0.546194
1.476316,-0.923582,0.000089,0.024735,0.000164,0.000717,0.000009,0.000001,0.000000,1.530532,0.038889,18.691368,0.291728
1.486842,-0.907610,0.000114,0.020470,0.000066,0.000493,0.000003,0.000000,0.000000,1.447838,0.047824,13.046592,0.213653
1.497368,-0.892804,0.000125,0.017766,0.000066,0.000370,0.000003,0.000000,0.000000,1.453086,0.055869,9.559232,0.154902
1.507895,-0.879074,0.000100,0.015763,0.000062,0.000293,0.000002,0.000000,0.000000,1.316687,0.048938,7.751048,0.147932
1.518421,-0.866038,0.000117,0.014165,0.000065,0.000237,0.000002,0.000000,0.000000,1.216248,0.030266,6.205998,0.081132
1.528947,-0.853761,0.000073,0.012905,0.000045,0.000197,0.000001,0.000000,0.000000,1.102777,0.031301,5.163503,0.080212
1.539474,-0.841971,0.000072,0.012018,0.000057,0.000170,0.000002,0.000000,0.000000,1.085925,0.032041,4.432307,0.061860
1.550000,-0.830585,0.000081,0.011249,0.000040,0.000149,0.000001,0.000000,0.000000,1.040691,0.031751,3.792222,0.054865
