T,E,E_err,M,M_err,M2,M2_err,M4,M4_err,Cv,Cv_err,chi,chi_err
4.400000,-1.286983,0.002284,0.485449,0.001548,0.262838,0.001319,0.088954,0.000682,1.761858,0.014855,3.162538,0.035135
4.407097,-1.277787,0.002034,0.481567,0.001406,0.258980,0.001181,0.086563,0.000655,1.717229,0.019144,3.145313,0.038223
4.414194,-1.263470,0.002174,0.471446,0.001468,0.250579,0.001183,0.082484,0.000548,1.723173,0.010943,3.284597,0.036949
4.421290,-1.248741,0.002352,0.462559,0.001714,0.243102,0.001363,0.078943,0.000657,1.717899,0.017204,3.374573,0.043532
4.428387,-1.235816,0.001932,0.455598,0.001626,0.237125,0.001219,0.075813,0.000530,1.699146,0.019880,3.417190,0.048766
4.435484,-1.225652,0.001790,0.449509,0.001406,0.231738,0.001095,0.073010,0.000521,1.673805,0.016625,3.426010,0.039755
4.442581,-1.213757,0.001971,0.442520,0.001505,0.225637,0.001120,0.069969,0.000495,1.631111,0.017372,3.435951,0.038459
4.449677,-1.198852,0.001571,0.433036,0.001080,0.217806,0.000822,0.066263,0.000419,1.617192,0.011090,3.484829,0.036423
4.456774,-1.191287,0.002033,0.427883,0.001270,0.213966,0.001041,0.064617,0.000525,1.616834,0.015636,3.547784,0.026337
4.463871,-1.180152,0.002293,0.421485,0.001624,0.208598,0.001321,0.062191,0.000677,1.589769,0.020364,3.549730,0.034879
4.470968,-1.167452,0.002366,0.413100,0.001906,0.201904,0.001526,0.059060,0.000689,1.564080,0.012929,3.578879,0.025430
4.478065,-1.155481,0.002189,0.404729,0.001571,0.195480,0.001149,0.056246,0.000494,1.550233,0.008732,3.621430,0.025922
4.485161,-1.143831,0.001860,0.398580,0.001380,0.190211,0.001055,0.053795,0.000463,1.505103,0.014025,3.578202,0.027915
4.492258,-1.133452,0.002079,0.392444,0.001510,0.185027,0.001212,0.051173,0.000552,1.439474,0.014367,3.534826,0.027615
4.499355,-1.125739,0.001784,0.386853,0.001326,0.180794,0.000999,0.049572,0.000465,1.440126,0.014046,3.543411,0.028183
4.506452,-1.114484,0.001709,0.379083,0.001334,0.174921,0.000975,0.047134,0.000437,1.414089,0.014964,3.546675,0.031978
4.513548,-1.105810,0.002660,0.374317,0.001605,0.171233,0.001234,0.045485,0.000556,1.385434,0.017787,3.530090,0.033999
4.520645,-1.096973,0.002175,0.368115,0.001828,0.166460,0.001275,0.043541,0.000517,1.357057,0.016151,3.505470,0.037458
4.527742,-1.086095,0.001631,0.360807,0.001543,0.161537,0.001008,0.041701,0.000392,1.341394,0.012169,3.545677,0.028522
4.534839,-1.076750,0.001409,0.354168,0.001490,0.156851,0.000896,0.039988,0.000324,1.327766,0.012877,3.546917,0.038780
4.541935,-1.067574,0.001777,0.348443,0.001391,0.152217,0.001019,0.037952,0.000419,1.270282,0.010320,3.472522,0.025673
4.549032,-1.056250,0.001573,0.339744,0.001672,0.145679,0.001030,0.035285,0.000343,1.206290,0.010558,3.405009,0.030922
4.556129,-1.048030,0.001919,0.334847,0.001569,0.142310,0.001106,0.034062,0.000455,1.185975,0.013382,3.392282,0.025377
4.563226,-1.037975,0.001857,0.327936,0.001360,0.137729,0.000949,0.032387,0.000355,1.160547,0.013001,3.387022,0.024000
4.570323,-1.029016,0.001165,0.321641,0.001268,0.133185,0.000741,0.030789,0.000249,1.130784,0.010004,3.330752,0.026697
4.577419,-1.025767,0.001702,0.320060,0.001346,0.132355,0.000820,0.030476,0.000312,1.120033,0.015017,3.346254,0.023124
4.584516,-1.018013,0.001406,0.314689,0.001322,0.128721,0.000863,0.029264,0.000311,1.096200,0.013036,3.315961,0.022467
4.591613,-1.009009,0.001991,0.308876,0.001707,0.124432,0.001140,0.027569,0.000421,1.056145,0.013050,3.236789,0.027785
4.598710,-1.000043,0.001216,0.302562,0.001176,0.120077,0.000799,0.026080,0.000289,1.026837,0.009283,3.176725,0.018931
4.605806,-0.994203,0.001814,0.298815,0.001441,0.117707,0.000849,0.025322,0.000242,1.010319,0.008928,3.158927,0.016836
4.612903,-0.984100,0.001404,0.291495,0.001568,0.112952,0.001016,0.023667,0.000350,0.974100,0.014345,3.105929,0.020453
4.620000,-0.979835,0.002381,0.287851,0.001946,0.110771,0.001248,0.022976,0.000438,0.950715,0.013577,3.093374,0.027391
