T,E,E_err,M,M_err,M2,M2_err,M4,M4_err,Cv,Cv_err,chi,chi_err
1.350000,-1.237016,0.000683,0.435506,0.000489,0.190267,0.000425,0.036651,0.000162,2.179356,0.060258,1.826579,0.031827
1.360526,-1.212439,0.000625,0.420359,0.000455,0.177399,0.000381,0.031952,0.000136,2.302727,0.058783,2.100091,0.040310
1.371053,-1.188572,0.000844,0.405749,0.000510,0.165426,0.000410,0.027874,0.000135,2.361937,0.064617,2.371499,0.048088
1.381579,-1.163820,0.000784,0.389799,0.000560,0.152823,0.000440,0.023873,0.000139,2.361084,0.059661,2.607384,0.058464
1.392105,-1.139542,0.000717,0.373159,0.000534,0.140270,0.000401,0.020222,0.000116,2.328637,0.055073,3.007363,0.041031
1.402632,-1.112460,0.000733,0.353076,0.000612,0.125862,0.000422,0.016414,0.000105,2.332731,0.039818,3.500786,0.076755
1.413158,-1.085646,0.000865,0.331921,0.000737,0.111693,0.000467,0.013099,0.000101,2.395438,0.066383,4.408720,0.122352
1.423684,-1.059692,0.000742,0.309016,0.000794,0.097417,0.000486,0.010158,0.000100,2.578442,0.076450,5.539759,0.152809
1.434211,-1.033405,0.000987,0.284025,0.001010,0.083009,0.000567,0.007571,0.000098,2.507846,0.064929,6.679606,0.119693
1.444737,-1.006734,0.000903,0.256538,0.001150,0.068733,0.000572,0.005415,0.000081,2.620697,0.065240,8.282537,0.144774
1.455263,-0.979672,0.000801,0.226623,0.000987,0.054624,0.000460,0.003601,0.000058,2.490694,0.069105,9.192809,0.161025
1.465789,-0.956053,0.000677,0.199199,0.000764,0.042989,0.000324,0.002347,0.000034,2.112674,0.044613,9.244970,0.129356
1.476316,-0.934275,0.000631,0.174389,0.001052,0.033601,0.000372,0.001520,0.000030,1.868907,0.038060,8.848512,0.098365
1.486842,-0.914648,0.000617,0.154335,0.000849,0.026712,0.000278,0.001004,0.000020,1.636049,0.034360,7.967373,0.119790
1.497368,-0.898512,0.000510,0.137360,0.000693,0.021403,0.000200,0.000667,0.000011,1.453382,0.044138,6.935594,0.078139
1.507895,-0.883237,0.000449,0.124249,0.000575,0.017752,0.000158,0.000479,0.000008,1.365394,0.031029,6.285578,0.081124
1.518421,-0.868226,0.000499,0.112298,0.000647,0.014582,0.000158,0.000329,0.000007,1.253697,0.024097,5.317824,0.073529
1.528947,-0.855660,0.000454,0.104739,0.000642,0.012687,0.000145,0.000251,0.000005,1.182369,0.023258,4.599713,0.054925
1.539474,-0.843296,0.000322,0.097015,0.000283,0.010904,0.000058,0.000186,0.000002,1.112004,0.020909,3.969551,0.033750
1.550000,-0.831543,0.000485,0.090383,0.000458,0.009535,0.000095,0.000146,0.000003,1.039238,0.027409,3.609059,0.049048
