T,E,E_err,M,M_err,M2,M2_err,M4,M4_err,Cv,Cv_err,chi,chi_err
1.350000,-1.233695,0.000345,0.412233,0.000242,0.170066,0.000200,0.029010,0.000068,2.306211,0.080979,3.151454,0.050962
1.360526,-1.209983,0.000292,0.397107,0.000204,0.157846,0.000161,0.025011,0.000050,2.416470,0.053479,3.671401,0.060757
1.371053,-1.185685,0.000448,0.380633,0.000326,0.145051,0.000247,0.021137,0.000071,2.383758,0.071930,4.050480,0.081156
1.381579,-1.160154,0.000608,0.362318,0.000467,0.131476,0.000337,0.017391,0.000088,2.561264,0.053272,4.770596,0.098647
1.392105,-1.134568,0.000383,0.342638,0.000363,0.117634,0.000247,0.013946,0.000057,2.440533,0.063635,5.489583,0.105737
1.402632,-1.107809,0.000405,0.319899,0.000385,0.102628,0.000244,0.010651,0.000050,2.626771,0.071662,6.848777,0.111693
1.413158,-1.080335,0.000451,0.294009,0.000460,0.086827,0.000269,0.007670,0.000047,2.723287,0.088328,8.950816,0.148690
1.423684,-1.052869,0.000443,0.264418,0.000580,0.070415,0.000300,0.005093,0.000041,2.503379,0.098101,11.480481,0.281963
1.434211,-1.022590,0.000575,0.224968,0.000916,0.051500,0.000401,0.002819,0.000041,3.031037,0.107918,20.312540,0.695242
1.444737,-0.992406,0.000565,0.174870,0.001067,0.032029,0.000360,0.001185,0.000024,2.698436,0.090229,32.873804,0.767823
1.455263,-0.964624,0.000356,0.123418,0.000841,0.016771,0.000210,0.000375,0.000008,2.395849,0.079735,34.660913,0.550719
1.465789,-0.942696,0.000263,0.089453,0.000530,0.009136,0.000101,0.000124,0.000003,1.937220,0.054991,25.344116,0.441669
1.476316,-0.923405,0.000253,0.069053,0.000284,0.005530,0.000043,0.000048,0.000001,1.600491,0.046776,16.906392,0.226747
1.486842,-0.907520,0.000306,0.057614,0.000282,0.003877,0.000037,0.000024,0.000001,1.524663,0.026227,12.292832,0.195719
1.497368,-0.892689,0.000237,0.049785,0.000190,0.002907,0.000022,0.000014,0.000000,1.406811,0.035408,9.387406,0.145806
1.507895,-0.878792,0.000184,0.044545,0.000168,0.002332,0.000017,0.000009,0.000000,1.276452,0.041194,7.556894,0.106104
1.518421,-0.866483,0.000266,0.040417,0.000170,0.001916,0.000016,0.000006,0.000000,1.207818,0.023814,6.098033,0.064906
1.528947,-0.853824,0.000251,0.036909,0.000172,0.001606,0.000015,0.000004,0.000000,1.083500,0.033188,5.219796,0.075537
1.539474,-0.841921,0.000150,0.034278,0.000138,0.001380,0.000010,0.000003,0.000000,1.073000,0.030796,4.357433,0.056229
1.550000,-0.830651,0.000159,0.032165,0.000131,0.001218,0.000010,0.000002,0.000000,1.013036,0.030456,3.871296,0.069448
