T,E,E_err,M,M_err,M2,M2_err,M4,M4_err,Cv,Cv_err,chi,chi_err
4.400000,-1.281992,0.000012,0.485948,0.000010,0.236148,0.000010,0.055768,0.000005,2.081915,0.009786,4.484224,0.029906
4.406452,-1.268437,0.000010,0.477185,0.000009,0.227708,0.000009,0.051854,0.000004,2.119035,0.011387,4.854927,0.029236
4.412903,-1.254711,0.000014,0.468050,0.000012,0.219074,0.000011,0.047996,0.000005,2.151733,0.009564,5.286395,0.028056
4.419355,-1.240731,0.000010,0.458435,0.000009,0.210166,0.000008,0.044173,0.000004,2.197996,0.012146,5.791405,0.040531
4.425806,-1.226559,0.000019,0.448342,0.000018,0.201015,0.000016,0.040410,0.000006,2.238229,0.014809,6.374716,0.054165
4.432258,-1.212121,0.000013,0.437667,0.000013,0.191557,0.000012,0.036697,0.000004,2.277602,0.010735,7.069643,0.035760
4.438710,-1.197371,0.000013,0.426297,0.000014,0.181734,0.000012,0.033031,0.000004,2.273966,0.012198,7.763476,0.063193
4.445161,-1.182374,0.000012,0.414209,0.000013,0.171575,0.000010,0.029442,0.000004,2.350740,0.013669,8.925634,0.061573
4.451613,-1.167030,0.000016,0.401217,0.000018,0.160982,0.000014,0.025919,0.000005,2.398867,0.014392,10.021490,0.067756
4.458065,-1.151335,0.000015,0.387191,0.000019,0.149925,0.000015,0.022482,0.000004,2.450167,0.013859,11.677684,0.076479
4.464516,-1.135231,0.000022,0.371891,0.000028,0.138311,0.000021,0.019135,0.000006,2.507495,0.017809,13.710767,0.108221
4.470968,-1.118714,0.000024,0.355063,0.000034,0.126080,0.000024,0.015901,0.000006,2.557868,0.015967,16.416717,0.143959
4.477419,-1.101613,0.000024,0.336150,0.000041,0.113010,0.000028,0.012777,0.000006,2.669131,0.015525,20.680175,0.204317
4.483871,-1.083879,0.000034,0.314554,0.000058,0.098961,0.000037,0.009800,0.000007,2.789712,0.028850,26.920390,0.418307
4.490323,-1.065365,0.000041,0.289094,0.000096,0.083599,0.000055,0.006997,0.000009,2.938172,0.027737,37.649820,0.561667
4.496774,-1.045656,0.000043,0.257136,0.000113,0.066158,0.000058,0.004387,0.000008,3.122013,0.044966,60.480804,1.305248
4.503226,-1.024625,0.000077,0.214263,0.000278,0.045986,0.000118,0.002129,0.000011,3.457210,0.057489,122.236369,3.734713
4.509677,-1.000163,0.000244,0.131514,0.002175,0.017953,0.000489,0.000358,0.000016,4.622628,0.235242,1031.121268,214.162348
4.516129,-0.982540,0.000040,0.021898,0.000643,0.000747,0.000038,0.000002,0.000000,1.447474,0.016559,419.729712,21.905667
4.522581,-0.974572,0.000015,0.013257,0.000318,0.000278,0.000013,0.000000,0.000000,1.134706,0.006224,159.326567,8.695204
4.529032,-0.967681,0.000014,0.009792,0.000193,0.000151,0.000006,0.000000,0.000000,1.010822,0.008120,85.468074,3.413707
4.535484,-0.961457,0.000009,0.008000,0.000116,0.000101,0.000003,0.000000,0.000000,0.925406,0.004198,57.919756,1.496329
4.541935,-0.955710,0.000010,0.007048,0.000101,0.000078,0.000002,0.000000,0.000000,0.860101,0.004237,43.704071,1.188059
4.548387,-0.950305,0.000009,0.006217,0.000060,0.000061,0.000001,0.000000,0.000000,0.818407,0.005686,34.058736,0.734222
4.554839,-0.945181,0.000006,0.005649,0.000043,0.000050,0.000001,0.000000,0.000000,0.775490,0.003780,28.016120,0.542035
4.561290,-0.940291,0.000009,0.005204,0.000041,0.000043,0.000001,0.000000,0.000000,0.740489,0.002640,23.989839,0.403034
4.567742,-0.935610,0.000008,0.004847,0.000051,0.000037,0.000001,0.000000,0.000000,0.711379,0.003160,21.014759,0.460500
4.574194,-0.931108,0.000005,0.004514,0.000031,0.000032,0.000000,0.000000,0.000000,0.687219,0.004106,18.147277,0.272196
4.580645,-0.926752,0.000006,0.004238,0.000032,0.000028,0.000000,0.000000,0.000000,0.667297,0.003000,15.779765,0.275817
4.587097,-0.922543,0.000005,0.004000,0.000037,0.000025,0.000000,0.000000,0.000000,0.644445,0.002704,14.021770,0.252834
4.593548,-0.918439,0.000005,0.003791,0.000019,0.000023,0.000000,0.000000,0.000000,0.621080,0.002872,12.788426,0.173390
4.600000,-0.914458,0.000005,0.003648,0.000023,0.000021,0.000000,0.000000,0.000000,0.603988,0.003295,11.515080,0.136347
