temp_idx,E,M
10,-0.84823296,0.00239699
11,-0.83413299,0.00205927
12,-0.82171818,0.00294500
13,-0.80732956,0.00180433
14,-0.79555178,0.00152199
15,-0.78343934,0.00112334
0,-1.11482528,0.30202132
1,-1.07746936,0.26388478
2,-1.03974157,0.20930728
3,-0.99982833,0.14243896
4,-0.96405618,0.00968460
5,-0.93929520,0.00866469
6,-0.91683420,0.00183459
7,-0.89859928,0.00428146
8,-0.88058604,0.00170414
9,-0.86398348,0.00206978
10,-0.84805327,0.00464868
11,-0.83450834,0.00122578
12,-0.82158437,0.00236059
13,-0.80750617,0.00137616
14,-0.79581054,0.00137076
15,-0.78365850,0.00101024
0,-1.11423232,0.30353709
1,-1.07623045,0.26172469
2,-1.04014333,0.21101678
3,-0.99998030,0.13856864
4,-0.96449677,0.01156813
5,-0.93973776,0.00412495
6,-0.91687151,0.00419836
7,-0.89889906,0.00285445
8,-0.88088525,0.00498618
9,-0.86396249,0.00320132
10,-0.84817645,0.00240419
11,-0.83398081,0.00111025
12,-0.82133735,0.00306861
13,-0.80714741,0.00197579
14,-0.79593820,0.00274376
15,-0.78362740,0.00161193
0,-1.11459138,0.30452349
1,-1.07725386,0.26399876
2,-1.03976892,0.21023304
3,-0.99971593,0.13265425
4,-0.96389509,0.01414127
5,-0.93978851,0.00653310
6,-0.91763129,0.00610805
7,-0.89879792,0.00101044
8,-0.88145187,0.00373383
9,-0.86354651,0.00640373
10,-0.84828956,0.00233413
11,-0.83432509,0.00192911
12,-0.82149998,0.00289934
13,-0.80774962,0.00359705
14,-0.79583499,0.00132637
15,-0.78360909,0.00191095
0,-1.11522055,0.30321382
1,-1.07656887,0.26546285
2,-1.03990575,0.21370216
3,-0.99947149,0.13512456
4,-0.96362873,0.01276098
5,-0.93991689,0.00778601
6,-0.91776250,0.00634729
7,-0.89869005,0.00289547
8,-0.88069091,0.00461555
9,-0.86378931,0.00423400
10,-0.84782694,0.00120635
11,-0.83369055,0.00227825
12,-0.82145760,0.00362145
13,-0.80769348,0.00135135
14,-0.79525317,0.00191946
15,-0.78371245,0.00211296
0,-1.11513832,0.30529856
1,-1.07626118,0.25810903
2,-1.03942377,0.21389057
3,-0.99903301,0.13130409
4,-0.96400563,0.01821355
5,-0.94022517,0.00791052
6,-0.91737500,0.00363044
7,-0.89838049,0.00540422
8,-0.88087549,0.00357559
9,-0.86266889,0.00195865
10,-0.84680382,0.00265160
11,-0.83394018,0.00125949
12,-0.82118594,0.00111689
13,-0.80795382,0.00149797
14,-0.79530586,0.00270920
15,-0.78387121,0.00063700
0,-1.11502071,0.30427398
1,-1.07640413,0.26086284
2,-1.03984035,0.21376455
3,-0.99911930,0.12519425
4,-0.96369878,0.01928321
5,-0.93964110,0.01024292
6,-0.91741617,0.00456450
7,-0.89838174,0.00492900
8,-0.88144880,0.00300113
9,-0.86266705,0.00354422
10,-0.84743791,0.00221922
