T,E,E_err,M,M_err,M2,M2_err,M4,M4_err,Cv,Cv_err,chi,chi_err
4.400000,-1.281710,0.000358,0.485792,0.000266,0.236588,0.000258,0.056526,0.000122,2.050904,0.025434,4.426262,0.068874
4.407097,-1.266990,0.000414,0.476233,0.000334,0.227470,0.000310,0.052339,0.000134,2.153059,0.026245,4.993436,0.082602
4.414194,-1.251492,0.000400,0.465754,0.000339,0.217654,0.000312,0.047992,0.000134,2.182506,0.021793,5.401260,0.075925
4.421290,-1.236641,0.000280,0.455458,0.000247,0.208250,0.000220,0.044021,0.000090,2.205603,0.028080,5.988270,0.107874
4.428387,-1.220686,0.000476,0.443840,0.000403,0.197902,0.000352,0.039859,0.000138,2.251679,0.022099,6.720654,0.112399
4.435484,-1.204703,0.000341,0.431915,0.000298,0.187575,0.000249,0.035921,0.000090,2.297124,0.031377,7.572610,0.165104
4.442581,-1.188146,0.000318,0.418620,0.000335,0.176405,0.000270,0.031898,0.000090,2.339896,0.027408,8.573953,0.167160
4.449677,-1.171221,0.000451,0.404506,0.000491,0.165036,0.000378,0.028103,0.000120,2.449741,0.038702,10.386684,0.271063
4.456774,-1.153789,0.000398,0.389161,0.000485,0.153035,0.000358,0.024314,0.000104,2.439326,0.035394,11.679350,0.291110
4.463871,-1.135914,0.000538,0.372339,0.000703,0.140573,0.000484,0.020731,0.000128,2.503415,0.039850,14.221576,0.517121
4.470968,-1.117487,0.000522,0.352824,0.000793,0.127037,0.000498,0.017235,0.000112,2.670103,0.031862,18.704906,0.615780
4.478065,-1.098695,0.000446,0.331568,0.000752,0.113274,0.000449,0.014039,0.000095,2.769858,0.030649,24.414476,0.690945
4.485161,-1.078462,0.000591,0.304546,0.001140,0.097374,0.000620,0.010827,0.000115,2.893870,0.039026,33.793587,1.067210
4.492258,-1.058597,0.000569,0.275618,0.001057,0.082103,0.000530,0.008178,0.000086,2.965442,0.036930,44.770837,0.927663
4.499355,-1.037619,0.000545,0.240606,0.001258,0.065396,0.000532,0.005681,0.000068,2.838784,0.040225,54.655034,1.069426
4.506452,-1.018613,0.000700,0.206006,0.001903,0.050421,0.000723,0.003745,0.000079,2.459228,0.024828,58.046095,0.754700
4.513548,-1.001777,0.000581,0.173526,0.001594,0.038001,0.000542,0.002408,0.000053,2.127564,0.035949,57.277510,0.856851
4.520645,-0.988368,0.000477,0.148133,0.001645,0.028986,0.000518,0.001536,0.000043,1.677875,0.022364,51.049790,0.782233
4.527742,-0.977299,0.000416,0.127787,0.001359,0.022480,0.000406,0.001024,0.000030,1.432032,0.025607,44.510751,0.720218
4.534839,-0.967991,0.000288,0.112136,0.000875,0.017888,0.000240,0.000702,0.000017,1.222291,0.014722,38.396986,0.459389
4.541935,-0.959785,0.000229,0.098741,0.000695,0.014260,0.000179,0.000483,0.000012,1.076519,0.014469,32.542567,0.435571
4.549032,-0.952817,0.000175,0.088637,0.000557,0.011670,0.000133,0.000337,0.000008,0.939977,0.011129,27.468421,0.363364
4.556129,-0.946296,0.000268,0.080558,0.000733,0.009765,0.000149,0.000245,0.000006,0.866018,0.012752,23.558188,0.347779
4.563226,-0.940272,0.000165,0.073737,0.000695,0.008255,0.000137,0.000180,0.000005,0.798440,0.006025,20.235989,0.324865
4.570323,-0.934945,0.000228,0.068250,0.000690,0.007133,0.000114,0.000137,0.000004,0.743292,0.008029,17.742866,0.247377
4.577419,-0.929936,0.000176,0.064517,0.000438,0.006368,0.000078,0.000111,0.000003,0.707182,0.006150,15.788481,0.199731
4.584516,-0.924975,0.000154,0.060336,0.000381,0.005617,0.000069,0.000088,0.000002,0.685907,0.008133,14.124879,0.210398
4.591613,-0.920231,0.000151,0.057028,0.000404,0.005007,0.000065,0.000071,0.000002,0.642876,0.004915,12.520989,0.188954
4.598710,-0.915506,0.000200,0.054370,0.000494,0.004582,0.000086,0.000059,0.000002,0.628662,0.004809,11.582605,0.244405
4.605806,-0.911232,0.000169,0.051489,0.000342,0.004118,0.000049,0.000048,0.000001,0.600354,0.004923,10.436170,0.122986
4.612903,-0.906966,0.000176,0.048743,0.000335,0.003713,0.000042,0.000040,0.000001,0.579630,0.005890,9.500037,0.108940
4.620000,-0.902869,0.000158,0.046903,0.000397,0.003417,0.000046,0.000034,0.000001,0.566651,0.006566,8.631796,0.086336
