T,E,E_err,M,M_err,M2,M2_err,M4,M4_err,Cv,Cv_err,chi,chi_err
2.100000,-1.236823,0.000217,0.419628,0.000142,0.176104,0.000119,0.031023,0.000042,11.206932,1.224886,15.620844,1.112824
2.110526,-1.215392,0.000292,0.405225,0.000209,0.164226,0.000169,0.026983,0.000055,12.360058,1.152597,18.916063,1.231126
2.121053,-1.192853,0.000259,0.389289,0.000202,0.151566,0.000157,0.022984,0.000047,11.004723,0.832418,19.114596,0.962811
2.131579,-1.170410,0.000261,0.372287,0.000215,0.138621,0.000160,0.019229,0.000044,11.942212,1.379154,23.160321,1.828249
2.142105,-1.146512,0.000274,0.352771,0.000256,0.124474,0.000180,0.015507,0.000045,11.278932,0.925708,26.134830,1.570877
2.152632,-1.122532,0.000286,0.331396,0.000276,0.109854,0.000182,0.012081,0.000040,10.483455,0.814634,29.699450,1.517066
2.163158,-1.097731,0.000219,0.306742,0.000234,0.094126,0.000143,0.008873,0.000027,9.318048,0.608123,33.767748,1.575263
2.173684,-1.071316,0.000210,0.276567,0.000281,0.076530,0.000155,0.005869,0.000023,7.482635,0.584948,39.682081,2.071607
2.184211,-1.042894,0.000244,0.236759,0.000417,0.056129,0.000195,0.003167,0.000021,8.830307,0.752380,71.853280,4.585177
2.194737,-1.012892,0.000193,0.178058,0.000519,0.031852,0.000179,0.001033,0.000011,6.171718,0.468132,141.019670,9.078846
2.205263,-0.980475,0.000144,0.045612,0.001453,0.002557,0.000146,0.000011,0.000001,2.540664,0.186386,453.182575,31.515392
2.215789,-0.961753,0.000067,0.017641,0.000217,0.000394,0.000009,0.000000,0.000000,1.684566,0.143798,78.096155,1.908195
2.226316,-0.946863,0.000077,0.012112,0.000145,0.000187,0.000005,0.000000,0.000000,1.567519,0.066563,38.384448,1.214617
2.236842,-0.933290,0.000062,0.009676,0.000088,0.000120,0.000002,0.000000,0.000000,1.295111,0.066438,24.311892,0.561178
2.247368,-0.920882,0.000054,0.008151,0.000055,0.000084,0.000001,0.000000,0.000000,1.197527,0.041067,16.559834,0.441215
2.257895,-0.909554,0.000050,0.007030,0.000048,0.000063,0.000001,0.000000,0.000000,1.133416,0.040054,12.680005,0.226182
2.268421,-0.898602,0.000058,0.006307,0.000040,0.000051,0.000001,0.000000,0.000000,1.041859,0.044997,10.128036,0.147538
2.278947,-0.888527,0.000057,0.005795,0.000032,0.000043,0.000000,0.000000,0.000000,1.081277,0.037238,8.245525,0.137080
2.289474,-0.878813,0.000051,0.005286,0.000037,0.000036,0.000000,0.000000,0.000000,0.880791,0.021171,7.154108,0.068720
2.300000,-0.869567,0.000044,0.004947,0.000028,0.000031,0.000000,0.000000,0.000000,0.921693,0.039436,6.047975,0.086481
