T,E,E_err,M,M_err,M2,M2_err,M4,M4_err,Cv,Cv_err,chi,chi_err
1.350000,-1.251877,0.001762,0.482692,0.000978,0.235529,0.000932,0.057726,0.000440,2.106145,0.053535,0.962326,0.019185
1.360526,-1.232044,0.001400,0.473475,0.000800,0.226850,0.000721,0.053725,0.000312,2.109175,0.040895,1.005444,0.027081
1.371053,-1.211458,0.001212,0.462963,0.000908,0.217306,0.000790,0.049607,0.000321,2.141043,0.052045,1.109674,0.032433
1.381579,-1.185337,0.001862,0.449381,0.001243,0.205238,0.001066,0.044573,0.000427,2.165727,0.048961,1.220921,0.040373
1.392105,-1.163523,0.001210,0.437313,0.000878,0.194968,0.000709,0.040601,0.000255,2.193035,0.054901,1.370158,0.036273
1.402632,-1.140980,0.001154,0.424429,0.000899,0.184173,0.000687,0.036545,0.000230,2.211486,0.035895,1.472246,0.039762
1.413158,-1.116256,0.001813,0.410592,0.001371,0.172839,0.001043,0.032458,0.000343,2.201868,0.047033,1.540849,0.047290
1.423684,-1.092503,0.001821,0.397086,0.001104,0.162272,0.000842,0.028935,0.000279,2.119440,0.055190,1.652468,0.035449
1.434211,-1.070715,0.001423,0.383245,0.001088,0.151767,0.000801,0.025638,0.000247,2.062896,0.043858,1.745597,0.036226
1.444737,-1.047316,0.001952,0.368390,0.001419,0.141088,0.001028,0.022540,0.000307,2.128015,0.042887,1.905485,0.030214
1.455263,-1.024778,0.001590,0.352599,0.001125,0.130194,0.000818,0.019579,0.000239,2.037616,0.031153,2.064374,0.035308
1.465789,-1.002515,0.001902,0.337443,0.001492,0.120113,0.000972,0.016986,0.000246,2.017038,0.039475,2.181337,0.038124
1.476316,-0.980521,0.001589,0.323268,0.001008,0.110825,0.000646,0.014679,0.000157,1.955112,0.044354,2.193050,0.028650
1.486842,-0.961145,0.001452,0.310885,0.001117,0.103059,0.000713,0.012919,0.000167,1.819234,0.034551,2.207199,0.027582
1.497368,-0.945243,0.001689,0.297825,0.001337,0.095277,0.000759,0.011238,0.000154,1.762979,0.035371,2.248767,0.033444
1.507895,-0.924005,0.001573,0.282024,0.001345,0.086307,0.000767,0.009504,0.000156,1.689899,0.037202,2.298704,0.032130
1.518421,-0.906021,0.001662,0.270034,0.001456,0.079674,0.000776,0.008249,0.000146,1.606344,0.031367,2.277736,0.033535
1.528947,-0.890050,0.001635,0.259433,0.001312,0.073953,0.000687,0.007222,0.000121,1.580064,0.033393,2.226143,0.029708
1.539474,-0.873029,0.001709,0.246665,0.001495,0.067483,0.000706,0.006172,0.000103,1.461607,0.030109,2.208141,0.035427
1.550000,-0.856918,0.001524,0.234228,0.001057,0.061224,0.000523,0.005190,0.000085,1.370190,0.026770,2.101111,0.033539
