T,E,E_err,M,M_err,M2,M2_err,M4,M4_err,Cv,Cv_err,chi,chi_err
2.100000,-1.240126,0.001330,0.447384,0.000829,0.201384,0.000731,0.041506,0.000292,2.086797,0.062776,2.402105,0.067682
2.110526,-1.217926,0.001291,0.434675,0.000859,0.190281,0.000724,0.037173,0.000265,2.053337,0.052653,2.598621,0.073514
2.121053,-1.196124,0.001029,0.420476,0.000659,0.178336,0.000540,0.032832,0.000190,2.110755,0.057923,2.966307,0.075255
2.131579,-1.174414,0.000904,0.405501,0.000793,0.166116,0.000618,0.028634,0.000196,2.042476,0.050205,3.236715,0.091953
2.142105,-1.153575,0.001046,0.389958,0.000868,0.154082,0.000665,0.024883,0.000204,2.131255,0.042425,3.852813,0.075682
2.152632,-1.130351,0.001280,0.373280,0.001053,0.141754,0.000744,0.021324,0.000200,2.259174,0.057969,4.597567,0.122355
2.163158,-1.105554,0.001195,0.352787,0.001221,0.127348,0.000805,0.017510,0.000195,2.296638,0.059284,5.470945,0.163400
2.173684,-1.081859,0.001269,0.332215,0.001242,0.113923,0.000789,0.014342,0.000177,2.340080,0.067902,6.702345,0.168114
2.184211,-1.056331,0.001467,0.307838,0.001520,0.098892,0.000905,0.011139,0.000182,2.305512,0.044733,7.739735,0.129312
2.194737,-1.031852,0.001558,0.281041,0.001775,0.084042,0.000943,0.008424,0.000164,2.252446,0.046226,9.440251,0.207179
2.205263,-1.007333,0.001616,0.253773,0.001963,0.070004,0.000992,0.006181,0.000153,2.192702,0.066329,10.407573,0.172186
2.215789,-0.986454,0.001343,0.229462,0.001778,0.058503,0.000807,0.004561,0.000107,1.970385,0.056868,10.815275,0.172195
2.226316,-0.965645,0.001102,0.205047,0.001509,0.047915,0.000614,0.003255,0.000070,1.831735,0.047166,10.800467,0.181965
2.236842,-0.948795,0.000925,0.186192,0.001172,0.040189,0.000419,0.002396,0.000044,1.600314,0.053881,10.111547,0.172121
2.247368,-0.933707,0.000925,0.169207,0.001225,0.033698,0.000416,0.001763,0.000038,1.476895,0.040958,9.235335,0.163167
2.257895,-0.918745,0.000905,0.153414,0.001079,0.028219,0.000359,0.001304,0.000030,1.344416,0.029910,8.496454,0.141229
2.268421,-0.905461,0.000669,0.139909,0.001011,0.023787,0.000305,0.000957,0.000022,1.183894,0.031021,7.605588,0.109307
2.278947,-0.893022,0.000702,0.127196,0.000930,0.019833,0.000269,0.000682,0.000018,1.078100,0.030902,6.567946,0.098818
2.289474,-0.882115,0.000747,0.119145,0.000673,0.017540,0.000197,0.000553,0.000013,1.031454,0.023439,5.983922,0.085258
2.300000,-0.871536,0.000916,0.111230,0.000710,0.015298,0.000171,0.000421,0.000009,0.990735,0.031411,5.210175,0.087801
