T,E,E_err,M,M_err,M2,M2_err,M4,M4_err,Cv,Cv_err,chi,chi_err
2.100000,-1.239161,0.000683,0.431904,0.000439,0.186747,0.000379,0.035028,0.000142,2.003514,0.072932,3.219296,0.083563
2.110526,-1.217639,0.000473,0.418084,0.000336,0.175032,0.000281,0.030801,0.000098,2.138415,0.077803,3.692221,0.094694
2.121053,-1.193516,0.000689,0.401806,0.000522,0.161729,0.000420,0.026336,0.000137,2.214814,0.051722,4.342271,0.067623
2.131579,-1.171237,0.000569,0.385381,0.000491,0.148831,0.000377,0.022334,0.000111,2.224668,0.064772,4.796606,0.127909
2.142105,-1.147773,0.000669,0.367241,0.000518,0.135244,0.000381,0.018492,0.000104,2.248045,0.088730,5.789467,0.183150
2.152632,-1.124225,0.000692,0.347591,0.000622,0.121255,0.000431,0.014909,0.000105,2.158896,0.094532,6.625604,0.224599
2.163158,-1.099378,0.000834,0.324149,0.000829,0.105684,0.000522,0.011417,0.000106,2.597944,0.111082,9.268820,0.324870
2.173684,-1.070431,0.000966,0.294019,0.001171,0.087286,0.000672,0.007894,0.000114,2.564431,0.084071,12.637284,0.421796
2.184211,-1.043759,0.000932,0.260041,0.001288,0.068922,0.000653,0.005068,0.000089,2.650845,0.120910,19.524259,0.626623
2.194737,-1.016341,0.000794,0.218030,0.001407,0.049647,0.000582,0.002806,0.000058,2.581770,0.088979,31.498435,0.952812
2.205263,-0.989292,0.000908,0.168245,0.001833,0.031073,0.000619,0.001250,0.000043,2.388964,0.073969,41.118539,0.678301
2.215789,-0.967694,0.000752,0.125684,0.001735,0.018341,0.000472,0.000503,0.000024,1.821132,0.076118,37.626212,0.909171
2.226316,-0.949234,0.000436,0.096194,0.000997,0.011168,0.000213,0.000209,0.000007,1.532809,0.040315,28.177901,0.460354
2.236842,-0.934139,0.000462,0.077179,0.000814,0.007395,0.000151,0.000099,0.000004,1.276401,0.045503,21.066157,0.442082
2.247368,-0.921006,0.000358,0.064860,0.000590,0.005274,0.000095,0.000052,0.000002,1.170829,0.031010,15.560334,0.329783
2.257895,-0.909633,0.000369,0.056793,0.000334,0.004050,0.000046,0.000031,0.000001,1.044920,0.024811,11.963323,0.198849
2.268421,-0.898920,0.000417,0.051186,0.000412,0.003310,0.000050,0.000021,0.000001,1.007911,0.019029,9.970835,0.175840
2.278947,-0.888426,0.000362,0.046219,0.000285,0.002698,0.000030,0.000014,0.000000,0.927497,0.022583,8.078259,0.090015
2.289474,-0.879033,0.000269,0.042220,0.000233,0.002258,0.000022,0.000010,0.000000,0.867526,0.018220,6.811755,0.078945
2.300000,-0.869499,0.000417,0.040144,0.000267,0.002035,0.000025,0.000008,0.000000,0.861027,0.023679,6.033331,0.088415
