T,E,E_err,M,M_err,M2,M2_err,M4,M4_err,Cv,Cv_err,chi,chi_err
4.400000,-1.281978,0.000019,0.485939,0.000016,0.236146,0.000015,0.055774,0.000007,2.080506,0.012716,4.469760,0.033705
4.406452,-1.268444,0.000017,0.477197,0.000015,0.227727,0.000014,0.051869,0.000006,2.108622,0.010717,4.851383,0.030964
4.412903,-1.254699,0.000019,0.468048,0.000018,0.219080,0.000016,0.048006,0.000007,2.131907,0.008800,5.208385,0.025586
4.419355,-1.240730,0.000030,0.458437,0.000028,0.210177,0.000026,0.044184,0.000011,2.192001,0.010052,5.768616,0.034750
4.425806,-1.226499,0.000030,0.448293,0.000027,0.200980,0.000024,0.040404,0.000010,2.209964,0.010697,6.330540,0.035358
4.432258,-1.212142,0.000035,0.437683,0.000032,0.191582,0.000028,0.036715,0.000011,2.256533,0.012445,7.026522,0.050260
4.438710,-1.197378,0.000035,0.426285,0.000035,0.181736,0.000030,0.033040,0.000011,2.310405,0.013861,7.958724,0.063248
4.445161,-1.182347,0.000041,0.414182,0.000043,0.171566,0.000036,0.029448,0.000012,2.350623,0.015753,8.876223,0.067633
4.451613,-1.167012,0.000038,0.401188,0.000044,0.160974,0.000035,0.025926,0.000011,2.416334,0.018460,10.169971,0.082285
4.458065,-1.151384,0.000036,0.387247,0.000045,0.149985,0.000035,0.022510,0.000010,2.445014,0.017049,11.569296,0.098448
4.464516,-1.135290,0.000029,0.371964,0.000040,0.138387,0.000030,0.019167,0.000008,2.526663,0.013109,13.721818,0.084146
4.470968,-1.118725,0.000037,0.355098,0.000052,0.126130,0.000037,0.015927,0.000009,2.627328,0.021665,16.802458,0.163017
4.477419,-1.101631,0.000052,0.336183,0.000080,0.113064,0.000054,0.012804,0.000012,2.729278,0.021174,21.122139,0.218402
4.483871,-1.083911,0.000043,0.314615,0.000075,0.099041,0.000047,0.009832,0.000009,2.807132,0.026253,27.330304,0.379922
4.490323,-1.065312,0.000075,0.288959,0.000163,0.083580,0.000094,0.007013,0.000015,2.966704,0.032913,38.739439,0.706197
4.496774,-1.045709,0.000104,0.257305,0.000276,0.066335,0.000141,0.004434,0.000019,3.100027,0.034977,59.899084,1.189906
4.503226,-1.024535,0.000145,0.213849,0.000532,0.046004,0.000219,0.002165,0.000019,3.547297,0.068105,127.131938,5.327993
4.509677,-0.999817,0.000403,0.128988,0.003145,0.018241,0.000688,0.000417,0.000023,4.162357,0.167508,745.593496,71.277145
4.516129,-0.982934,0.000078,0.040827,0.001022,0.002544,0.000106,0.000017,0.000001,1.605086,0.028670,407.282878,15.683293
4.522581,-0.974466,0.000040,0.023338,0.000401,0.000860,0.000028,0.000002,0.000000,1.129385,0.008991,146.009321,4.892577
4.529032,-0.967657,0.000023,0.018136,0.000216,0.000518,0.000012,0.000001,0.000000,1.006475,0.004626,87.738569,2.172684
4.535484,-0.961477,0.000018,0.014776,0.000206,0.000342,0.000008,0.000000,0.000000,0.915033,0.005206,57.358986,1.112025
4.541935,-0.955732,0.000015,0.012660,0.000119,0.000252,0.000005,0.000000,0.000000,0.866498,0.004351,42.244091,1.011331
4.548387,-0.950301,0.000011,0.011353,0.000103,0.000202,0.000004,0.000000,0.000000,0.807291,0.004640,33.824581,0.726078
4.554839,-0.945180,0.000015,0.010154,0.000081,0.000162,0.000003,0.000000,0.000000,0.776027,0.003809,27.209272,0.489122
4.561290,-0.940312,0.000011,0.009467,0.000054,0.000140,0.000001,0.000000,0.000000,0.745565,0.004385,23.336534,0.288882
4.567742,-0.935610,0.000011,0.008755,0.000036,0.000121,0.000001,0.000000,0.000000,0.711735,0.002893,20.204170,0.267905
4.574194,-0.931085,0.000010,0.008185,0.000045,0.000106,0.000001,0.000000,0.000000,0.683774,0.002972,17.747287,0.254063
4.580645,-0.926752,0.000011,0.007737,0.000056,0.000094,0.000001,0.000000,0.000000,0.663074,0.002965,15.468308,0.234214
4.587097,-0.922528,0.000008,0.007311,0.000033,0.000084,0.000001,0.000000,0.000000,0.646548,0.002636,13.844146,0.149463
4.593548,-0.918436,0.000010,0.006881,0.000035,0.000074,0.000001,0.000000,0.000000,0.626776,0.002294,12.352050,0.129530
4.600000,-0.914460,0.000007,0.006637,0.000027,0.000069,0.000001,0.000000,0.000000,0.607942,0.002676,11.467576,0.117479
