p_removed,tc_mean,tc_err,chi_peak_mean,chi_peak_err,mean_degree,mean_degree_err,n_realizations,tc_over_tc0,tc_over_tc0_err
0.0,4.261639214158078,0.16641686255100033,147.11950303590856,30.776531347253027,6.0,0.0,4,1.0,0.0
0.1,3.9695777361629667,0.05382125038914273,243.92582608817293,69.91206735387563,5.4000244140625,0.0,12,0.9314673384305222,0.03850387706751058
0.2,3.537937161128831,0.030818133080770832,205.91211478967065,35.01181109894901,4.800048828125,0.0,12,0.8301822334877731,0.033215353274930776
0.3,3.033665208055629,0.0503391668774382,170.91683853503005,61.97514050805762,4.20001220703125,0.0,12,0.711854067321594,0.030203461311206808
0.4,2.486771395955193,0.06856007963321721,145.80423770245156,33.69283060824871,3.60003662109375,0.0,12,0.5835246183425398,0.027893453759924296
0.5,1.649777483987247,0.0796275325085443,460.84869717691754,65.52342428016192,3.0,0.0,12,0.3871227480980401,0.024034274463874322
