p_removed,T,E,E_err,M,M_err,M2,M2_err,M4,M4_err,Cv,Cv_err,chi,chi_err,mean_degree,mean_degree_err,n_realizations
0.0,3.8,-2.13258025,0.0004706225265538994,0.81483125,0.00012317289677522822,0.6639865,0.00020056191895107242,0.44097275,0.00026568069024049575,1.0646145,0.021408556099139383,0.30892925,0.00723007816203716,6.0,0.0,4
0.0,3.828,-2.103924,0.00039601031131354187,0.807171,0.0001231631709021288,0.65156225,0.00019909226295030487,0.424631,0.00025975661685507915,1.06432975,0.01574648213821637,0.318982,0.002350062729659221,6.0,0.0,4
0.0,3.856,-2.0729895000000003,0.0007502582333214665,0.79878625,0.0002267871156687264,0.63809975,0.00036222101333302395,0.4072755,0.00046177294203970096,1.08980625,0.007839563884288012,0.34443675,0.0025197259895671275,6.0,0.0,4
0.0,3.884,-1.980495,0.06337131061844944,0.625625,0.16502397696799498,0.4737885,0.1513810133985875,0.29334475,0.09760030568460924,1.1011725,0.01481212252683594,38.88981975,38.53070647255717,6.0,0.0,4
0.0,3.912,-2.0123765000000002,0.0005724826780494201,0.7817525,0.0001618401989618239,0.611184,0.00025310834307335547,0.37366,0.0003102614488889461,1.12811,0.04040609052069588,0.39195425,0.01414938619619828,6.0,0.0,4
0.0,3.94,-1.98006825,0.00022464689885834589,0.7723225,7.552096839068595e-05,0.59653425,0.00011675285506860397,0.355978,0.0001400095234856101,1.18479425,0.021132417653828294,0.43496,0.005431848871854471,6.0,0.0,4
0.0,3.968,-1.9469272499999999,0.000562060698827687,0.76261075,0.00021519114565118848,0.581634,0.00032750470734529394,0.33843449999999997,0.00037956257718590374,1.24761425,0.008932230967820951,0.483621,0.0068286261551403354,6.0,0.0,4
0.0,3.996,-1.913656,0.0008400864042862822,0.75253025,0.0002935050751974775,0.5663625,0.0004408557020159589,0.32090375000000004,0.0004971625111570698,1.220983,0.04115990123287471,0.49503699999999995,0.0142187480402929,6.0,0.0,4
0.0,4.024,-1.878949,0.0012964018795625493,0.74178525,0.00048265107738405913,0.550313,0.0007150166664724274,0.30299375,0.0007851058713107823,1.25400675,0.02084095213106078,0.5465125,0.013048301227235177,6.0,0.0,4
0.0,4.052,-1.8420825,0.0004940260620655621,0.730038,0.00018858905942108816,0.53302775,0.0002767575277506706,0.28427425,0.0002982413382368889,1.2695495,0.021382539268836452,0.5888825,0.014433837197710117,6.0,0.0,4
0.0,4.08,-1.79531925,0.009281436153015332,0.700353,0.017391691982093067,0.49858074999999996,0.01666167891387799,0.25579475,0.00985559679720953,5.0902705,3.7177583236927085,57.657747,56.97672112076219,6.0,0.0,4
0.0,4.108,-1.7682225,0.0007117397113177302,0.70548875,0.00029630681593014103,0.497803,0.0004176663341312865,0.24798375,0.00041551200845061834,1.3407885,0.02911312672003243,0.7038815,0.013258141803561052,6.0,0.0,4
0.0,4.136,-1.72977875,0.0010946801188018377,0.6921745,0.0004970155094830089,0.479207,0.0006864637645207505,0.2298325,0.0006548282853797131,1.396774,0.05740426380505197,0.79415675,0.033494691513171165,6.0,0.0,4
0.0,4.164,-1.68801075,0.00039971226630328887,0.67721825,0.0001416270778017522,0.4587295,0.00018972985180689395,0.21062625000000001,0.0001707026532697581,1.3424045,0.03988329195185204,0.82896,0.030686583249035726,6.0,0.0,4
0.0,4.192,-1.64569975,0.0005956992215035866,0.661082,0.0002480110884617904,0.4371615,0.00033174651467650053,0.19134099999999998,0.00029651672240645657,1.49225625,0.042993223108173315,1.0321265,0.03834447952987061,6.0,0.0,4
0.0,4.22,-1.60365275,0.0007185435935510729,0.64485475,0.0003737245810754393,0.4159975,0.0004812010148229821,0.17331925,0.00039963657969877426,1.64350975,0.036346282963037185,1.23841525,0.03278009560280699,6.0,0.0,4
0.0,4.248,-1.55773425,0.0007372904645841403,0.6260215,0.00025010147940384905,0.3920675,0.0003149297540722294,0.153974,0.00025058365203393896,1.546082,0.03468053174573118,1.2674785,0.03563439287285062,6.0,0.0,4
0.0,4.276,-1.51224375,0.00109152808598773,0.60656675,0.0006549099651860584,0.368129,0.0007874304202065606,0.13582075,0.0005704085341519068,1.6368695,0.05389313558407352,1.5658215,0.06745750568876675,6.0,0.0,4
0.0,4.304,-1.46445275,0.00127791271056879,0.584862,0.0009239532816472132,0.3423095,0.0010739615526948133,0.1175105,0.0007280650726411767,1.7218905,0.05697770732268893,1.85414675,0.05786903098862552,6.0,0.0,4
0.0,4.332,-1.413926,0.001408129788052224,0.5601182499999999,0.0007359512410252999,0.31405725,0.000831948353264789,0.099037,0.0005333183852071859,1.8882777499999999,0.09098253608282465,2.44610425,0.10433880083281183,6.0,0.0,4
0.0,4.36,-1.3611199999999999,0.0007658401704446216,0.53223725,0.0007097191199105986,0.28369275,0.0007605055747111019,0.0809475,0.00043835573453531937,1.9446665,0.10054638544348576,3.1191577500000003,0.17668428113935086,6.0,0.0,4
0.0,4.388,-1.3070275,0.0014040667422407687,0.501733,0.0011174144262537536,0.2522505,0.0011037021412802714,0.06414375,0.0005451423934777661,2.034994,0.16108015965816525,3.812467,0.3704527277784576,6.0,0.0,4
0.0,4.416,-1.25077825,0.003373184063932285,0.4661095,0.003108226034787904,0.21802300000000002,0.0028562836285401785,0.048185,0.0012187579059572636,2.2407705,0.04083343131246743,5.458285,0.38823996257877263,6.0,0.0,4
0.0,4.444,-1.18999875,0.002672102398705313,0.42189475,0.0027438574238651705,0.17900675,0.00231572956016745,0.032752,0.000838256623395645,2.24176825,0.15069057051033144,7.291192000000001,0.6102339255491839,6.0,0.0,4
0.0,4.472,-1.11037075,0.0033306260766558307,0.342723,0.0034761972278147045,0.120507,0.0024446167729659917,0.015732,0.0007183668979010656,2.80254325,0.3962378565313548,22.06922775,7.371902058939611,6.0,0.0,4
0.0,4.5,-1.03504775,0.008077622075576012,0.2352625,0.021912182648396002,0.062361,0.009022827448569914,0.00524725,0.0010896392656134719,2.42124975,0.19942996511907593,47.28927675,11.548574576006716,6.0,0.0,4
0.0,4.528,-0.97823925,0.004377980972529839,0.1299165,0.014075628585726939,0.02374125,0.00428465256030171,0.001191,0.00034946983656199387,1.47455025,0.1578416058840713,116.82679350000001,20.995510339608103,6.0,0.0,4
0.0,4.556,-0.94608425,0.00240917964512819,0.074686,0.01132288175186276,0.008953,0.0025332513034964903,0.00025825,0.00013452965905950504,0.9318165,0.1965754801997187,53.5901645,16.677455239278533,6.0,0.0,4
0.0,4.584,-0.92620575,0.0005915399923082207,0.064304,0.004418936448211643,0.00620775,0.0006980981754022854,0.0001015,2.119944967839181e-05,0.6451715,0.03774041647557693,40.105233500000004,5.945825194368966,6.0,0.0,4
0.0,4.612,-0.90670175,0.0009516274984642543,0.0463295,0.0008772584662838343,0.003335,0.00017341136064283677,3.15e-05,4.941322360124531e-06,0.560857,0.0013603490973521024,22.33818075,1.5242280574640823,6.0,0.0,4
0.0,4.64,-0.8917915,0.001435598974876563,0.04182725,0.004978505806213347,0.00282125,0.0007088145473253211,2.675e-05,1.3085456303341762e-05,0.5046612500000001,0.02128517910571814,19.42618875,4.778465823561285,6.0,0.0,4
0.0,4.668,-0.876922,0.0007396067648870266,0.04020525,0.003429680995248198,0.002445,0.00035745372660900694,1.7e-05,4.143267631552018e-06,0.48024925,0.016468806435070926,16.028283249999998,1.9734728630841527,6.0,0.0,4
0.0,4.696,-0.86427625,0.0005018046391110105,0.0325415,0.0006899746976037113,0.0016064999999999999,7.55617848739251e-05,6.5000000000000004e-06,6.454972243679026e-07,0.45521175,0.010731463610764689,10.5080815,0.40839285488862703,6.0,0.0,4
0.0,4.724,-0.85208725,0.00048444665599010314,0.0320325,0.001592549973051605,0.0016302500000000002,0.0001701594227971718,8e-06,1.7795130420052183e-06,0.42999475,0.010568319855232428,11.126216750000001,1.1448629598139228,6.0,0.0,4
0.0,4.752,-0.8408964999999999,0.0003712421716346428,0.029493750000000003,0.0012181688015897745,0.00136275,9.242237734084389e-05,5.5e-06,6.454972243679028e-07,0.40469,0.008923010936150796,9.171804,0.5883599547138071,6.0,0.0,4
0.0,4.78,-0.82967075,0.00042558026563740617,0.026897499999999998,0.0005271610285292338,0.0010969999999999999,4.8161187692996076e-05,3.2500000000000002e-06,2.4999999999999994e-07,0.3728715,0.011189875204100063,7.4029165,0.3519507823689035,6.0,0.0,4
0.0,4.808,-0.81923325,0.00011835918144924567,0.02573725,0.000722664557384683,0.001023,6.186005711819756e-05,3e-06,4.0824829046386305e-07,0.366137,0.007979174779804409,6.8281142500000005,0.3951562895845505,6.0,0.0,4
0.0,4.836,-0.80922225,0.0005620349003101677,0.0253845,0.0007633550397204873,0.0010065,6.83623921953194e-05,3e-06,4.0824829046386305e-07,0.34156025,0.006356102676103235,6.623221,0.41068835904024203,6.0,0.0,4
0.0,4.864,-0.799687,0.0003244410578209863,0.02354,0.0006480789560951147,0.00085525,5.509745154421088e-05,2e-06,4.0824829046386305e-07,0.3336775,0.0064077622784140965,5.69624975,0.388851664801497,6.0,0.0,4
0.0,4.892,-0.7899785,0.00040183298769515323,0.022033499999999998,0.0008868206789800669,0.000763,6.391530854706615e-05,1.4999999999999998e-06,2.886751345948129e-07,0.33067674999999996,0.004728663947582516,4.9868285,0.43413087895213115,6.0,0.0,4
