p_removed,n,realization,graph_file,sweep_file,mean_degree,n_edges,seed,tmin,tmax,steps,warmup,samples
0.0,32,0,/Volumes/Untitled/publishing_data/n32_p000_refine/raw/dilution/graphs/N32/p000/diluted_N32_p000_r000.json,/Volumes/Untitled/publishing_data/n32_p000_refine/raw/dilution/sweeps/N32/p000/diluted_N32_p000_r000_sweep.csv,6.0,98304,1000042,4.3,4.7,81,8000,6000
0.0,32,1,/Volumes/Untitled/publishing_data/n32_p000_refine/raw/dilution/graphs/N32/p000/diluted_N32_p000_r001.json,/Volumes/Untitled/publishing_data/n32_p000_refine/raw/dilution/sweeps/N32/p000/diluted_N32_p000_r001_sweep.csv,6.0,98304,1001051,4.3,4.7,81,8000,6000
0.0,32,2,/Volumes/Untitled/publishing_data/n32_p000_refine/raw/dilution/graphs/N32/p000/diluted_N32_p000_r002.json,/Volumes/Untitled/publishing_data/n32_p000_refine/raw/dilution/sweeps/N32/p000/diluted_N32_p000_r002_sweep.csv,6.0,98304,1002060,4.3,4.7,81,8000,6000
0.0,32,3,/Volumes/Untitled/publishing_data/n32_p000_refine/raw/dilution/graphs/N32/p000/diluted_N32_p000_r003.json,/Volumes/Untitled/publishing_data/n32_p000_refine/raw/dilution/sweeps/N32/p000/diluted_N32_p000_r003_sweep.csv,6.0,98304,1003069,4.3,4.7,81,8000,6000
0.0,32,4,/Volumes/Untitled/publishing_data/n32_p000_refine/raw/dilution/graphs/N32/p000/diluted_N32_p000_r004.json,/Volumes/Untitled/publishing_data/n32_p000_refine/raw/dilution/sweeps/N32/p000/diluted_N32_p000_r004_sweep.csv,6.0,98304,1004078,4.3,4.7,81,8000,6000
0.0,32,5,/Volumes/Untitled/publishing_data/n32_p000_refine/raw/dilution/graphs/N32/p000/diluted_N32_p000_r005.json,/Volumes/Untitled/publishing_data/n32_p000_refine/raw/dilution/sweeps/N32/p000/diluted_N32_p000_r005_sweep.csv,6.0,98304,1005087,4.3,4.7,81,8000,6000
0.0,32,6,/Volumes/Untitled/publishing_data/n32_p000_refine/raw/dilution/graphs/N32/p000/diluted_N32_p000_r006.json,/Volumes/Untitled/publishing_data/n32_p000_refine/raw/dilution/sweeps/N32/p000/diluted_N32_p000_r006_sweep.csv,6.0,98304,1006096,4.3,4.7,81,8000,6000
0.0,32,7,/Volumes/Untitled/publishing_data/n32_p000_refine/raw/dilution/graphs/N32/p000/diluted_N32_p000_r007.json,/Volumes/Untitled/publishing_data/n32_p000_refine/raw/dilution/sweeps/N32/p000/diluted_N32_p000_r007_sweep.csv,6.0,98304,1007105,4.3,4.7,81,8000,6000
0.1,32,0,/Volumes/Untitled/publishing_data/dilution_publish_v1/size_N32/raw/dilution/graphs/N32/p100/diluted_N32_p100_r000.json,/Volumes/Untitled/publishing_data/dilution_publish_v1/size_N32/raw/dilution/sweeps/N32/p100/diluted_N32_p100_r000_sweep.csv,5.4000244140625,88474,1001042,3.5,4.8,51,4000,3000
0.1,32,1,/Volumes/Untitled/publishing_data/dilution_publish_v1/size_N32/raw/dilution/graphs/N32/p100/diluted_N32_p100_r001.json,/Volumes/Untitled/publishing_data/dilution_publish_v1/size_N32/raw/dilution/sweeps/N32/p100/diluted_N32_p100_r001_sweep.csv,5.4000244140625,88474,1002051,3.5,4.8,51,4000,3000
0.1,32,2,/Volumes/Untitled/publishing_data/dilution_publish_v1/size_N32/raw/dilution/graphs/N32/p100/diluted_N32_p100_r002.json,/Volumes/Untitled/publishing_data/dilution_publish_v1/size_N32/raw/dilution/sweeps/N32/p100/diluted_N32_p100_r002_sweep.csv,5.4000244140625,88474,1003060,3.5,4.8,51,4000,3000
0.1,32,3,/Volumes/Untitled/publishing_data/dilution_publish_v1/size_N32/raw/dilution/graphs/N32/p100/diluted_N32_p100_r003.json,/Volumes/Untitled/publishing_data/dilution_publish_v1/size_N32/raw/dilution/sweeps/N32/p100/diluted_N32_p100_r003_sweep.csv,5.4000244140625,88474,1004069,3.5,4.8,51,4000,3000
0.1,32,4,/Volumes/Untitled/publishing_data/dilution_publish_v1/size_N32/raw/dilution/graphs/N32/p100/diluted_N32_p100_r004.json,/Volumes/Untitled/publishing_data/dilution_publish_v1/size_N32/raw/dilution/sweeps/N32/p100/diluted_N32_p100_r004_sweep.csv,5.4000244140625,88474,1005078,3.5,4.8,51,4000,3000
0.1,32,5,/Volumes/Untitled/publishing_data/dilution_publish_v1/size_N32/raw/dilution/graphs/N32/p100/diluted_N32_p100_r005.json,/Volumes/Untitled/publishing_data/dilution_publish_v1/size_N32/raw/dilution/sweeps/N32/p100/diluted_N32_p100_r005_sweep.csv,5.4000244140625,88474,1006087,3.5,4.8,51,4000,3000
0.1,32,6,/Volumes/Untitled/publishing_data/dilution_publish_v1/size_N32/raw/dilution/graphs/N32/p100/diluted_N32_p100_r006.json,/Volumes/Untitled/publishing_data/dilution_publish_v1/size_N32/raw/dilution/sweeps/N32/p100/diluted_N32_p100_r006_sweep.csv,5.4000244140625,88474,1007096,3.5,4.8,51,4000,3000
0.1,32,7,/Volumes/Untitled/publishing_data/dilution_publish_v1/size_N32/raw/dilution/graphs/N32/p100/diluted_N32_p100_r007.json,/Volumes/Untitled/publishing_data/dilution_publish_v1/size_N32/raw/dilution/sweeps/N32/p100/diluted_N32_p100_r007_sweep.csv,5.4000244140625,88474,1008105,3.5,4.8,51,4000,3000
0.1,32,8,/Volumes/Untitled/publishing_data/dilution_publish_v1/size_N32/raw/dilution/graphs/N32/p100/diluted_N32_p100_r008.json,/Volumes/Untitled/publishing_data/dilution_publish_v1/size_N32/raw/dilution/sweeps/N32/p100/diluted_N32_p100_r008_sweep.csv,5.4000244140625,88474,1009114,3.5,4.8,51,4000,3000
0.1,32,9,/Volumes/Untitled/publishing_data/dilution_publish_v1/size_N32/raw/dilution/graphs/N32/p100/diluted_N32_p100_r009.json,/Volumes/Untitled/publishing_data/dilution_publish_v1/size_N32/raw/dilution/sweeps/N32/p100/diluted_N32_p100_r009_sweep.csv,5.4000244140625,88474,1010123,3.5,4.8,51,4000,3000
0.1,32,10,/Volumes/Untitled/publishing_data/dilution_publish_v1/size_N32/raw/dilution/graphs/N32/p100/diluted_N32_p100_r010.json,/Volumes/Untitled/publishing_data/dilution_publish_v1/size_N32/raw/dilution/sweeps/N32/p100/diluted_N32_p100_r010_sweep.csv,5.4000244140625,88474,1011132,3.5,4.8,51,4000,3000
0.1,32,11,/Volumes/Untitled/publishing_data/dilution_publish_v1/size_N32/raw/dilution/graphs/N32/p100/diluted_N32_p100_r011.json,/Volumes/Untitled/publishing_data/dilution_publish_v1/size_N32/raw/dilution/sweeps/N32/p100/diluted_N32_p100_r011_sweep.csv,5.4000244140625,88474,1012141,3.5,4.8,51,4000,3000
0.2,32,0,/Volumes/Untitled/publishing_data/dilution_publish_v1/size_N32/raw/dilution/graphs/N32/p200/diluted_N32_p200_r000.json,/Volumes/Untitled/publishing_data/dilution_publish_v1/size_N32/raw/dilution/sweeps/N32/p200/diluted_N32_p200_r000_sweep.csv,4.800048828125,78644,1002042,3.0,4.3,51,4000,3000
0.2,32,1,/Volumes/Untitled/publishing_data/dilution_publish_v1/size_N32/raw/dilution/graphs/N32/p200/diluted_N32_p200_r001.json,/Volumes/Untitled/publishing_data/dilution_publish_v1/size_N32/raw/dilution/sweeps/N32/p200/diluted_N32_p200_r001_sweep.csv,4.800048828125,78644,1003051,3.0,4.3,51,4000,3000
0.2,32,2,/Volumes/Untitled/publishing_data/dilution_publish_v1/size_N32/raw/dilution/graphs/N32/p200/diluted_N32_p200_r002.json,/Volumes/Untitled/publishing_data/dilution_publish_v1/size_N32/raw/dilution/sweeps/N32/p200/diluted_N32_p200_r002_sweep.csv,4.800048828125,78644,1004060,3.0,4.3,51,4000,3000
